Nummer,Jahr,Technik,Format,Ausrichtung,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
40,a2011,zT Dd G   ,21x30,breit, ,U,   ,Fst,H2,b,ParPC,was,Früchtestillleben (nach Paul Cézanne),iBdK,,,,40
41,a2016,zT T G   ,21x30,breit, ,U,   ,Fst,H2,v,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,41
42,a2012,G     ,21x30,breit, ,UoG,F St  ,Fst,H1,b,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,42
43,a2012,zT B Fa   ,21x30,breit, ,UoG,F St  ,Fst,H1,bw,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,43
44,a2012,zT Opll G   ,21x30,breit, ,U,   ,Fst,H2,cf,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,44
45,a2011,zT Aq B   ,21x30,breit,Gi ,UoG,F St  ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,45
46,a2014,B     ,21x30,breit,Lwi ,U,   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,46
47,a2015,zT T B   ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,47
48,a2011,zT Dd B   ,21x30,breit, ,UoG,F BiB St ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,48
49,a2011,zT G Dp   ,21x30,breit,Lwi ,U,   ,Fst,H1,m,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,49
50,a2011,zT Dp B   ,21x30,breit,Lwi ,U,   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,50
51,a2012,zT Dd G   ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,51
52,a2011,zT B G   ,21x30,breit, ,U,Sch   ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,52
53,a2011,Mt Dd B G Ve ,21x30,breit,Lwi Gi,UoG,F  St ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,53
54,a2011,zT Dd Ks   ,21x30,breit, ,UnG,F BiB St ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,54
55,a2011,zT G B   ,21x30,breit, ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,55
56,a2011,Mt Dd B G Fa ,21x30,breit,Lst ,UoG,Ul   ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,56
57,a2011,Dd     ,21x30,breit, ,U,Sch   ,Fst,H1,y,ParPC,was,Früchtestillleben (nach Paul Cézanne),iBdK,,,,57
58,a2011,zT Dd G   ,21x30,breit,Gi ,U,   ,Fst,H1,cf,ParPC,was,Früchtestillleben (nach Paul Cézanne),iBdK,,,,58
59,a2012,zT B G   ,21x30,breit, ,U,   ,Fst,H1,cf,ParPC,was,Früchtestillleben (nach Paul Cézanne),iBdK,,,,59
60,a2011,Mt Dd B G  ,21x30,breit, ,U,Sch   ,Fst,H2,bw,ParPC,was,Früchtestillleben (nach Paul Cézanne),iBdK,,,,60
61,a2011,B     ,21x30,breit, ,UoG,F St  ,Fst,H1,gr,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,61
62,a2016,Mt Pk B Opll  ,21x30,breit, ,U,   ,Fst,H3,v,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,62
63,a2016,zT T Kh   ,21x30,breit, ,UoG,   ,Fst,H3,gr,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,63
64,a2012,G     ,21x30,breit, ,U,   ,Fst,H2,cf,ParPC,fis,Früchtestillleben (nach Paul Cézanne),iBdK,,,,64
65,a2012,Opll     ,21x30,breit, ,U,   ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,65
66,a2012,zT Dp G   ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,66
67,a2012,Mt Dd B Fs Ks ,21x30,breit,Gi ,UoG,F St  ,Fst,H3,bw,ParPC,,"Früchtestillleben (nach Paul Cézanne), T",iBdK,,,,67
68,a2011,zT Dd T   ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,68
69,a2013,zT B Fa   ,21x30,breit, ,UoG,F St  ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,69
70,a2011,Mt G Dd T  ,21x30,breit, ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,70
71,a2012,zT B T   ,21x30,breit, ,UoG,F St  ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,71
72,a2011,B     ,21x30,breit, ,UoG,F St  ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,72
73,a2011,zT B G   ,21x30,breit, ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,73
74,a2011,zT Dd G   ,21x30,breit, ,UoG,Ar Sch  ,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,74
75,a2012,zT Dd G   ,21x30,breit, ,U,BiB Sch  ,Fst,H2,grcf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,75
76,a2010,zT Dd G   ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,76
77,a2012,Mt Dd B G  ,21x30,breit, ,U,Sch   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,77
78,a2010,G     ,21x30,breit, ,UoG,F St  ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,78
79,a2013,zT Dd B   ,21x30,breit, ,U,   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,79
80,a2012,Mt Dd G C B ,21x30,breit, ,UnG,   ,Fst,H3,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,80
81,a2012,Mt T B G  ,21x30,breit,Gi ,U,   ,Fst,H2,c,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,81
82,a2011,zT G Dd   ,21x30,breit, ,UoG,F St  ,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,82
83,a2010,Mt B G Dd  ,21x30,breit, ,U,Gi   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,83
84,a2011,G     ,21x30,breit, ,UoG,F St  ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,84
85,a2012,G     ,21x30,breit, ,UoG,F St  ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,85
86,a2012,G     ,21x30,breit, ,U,   ,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,86
87,a2011,zT Dd B   ,21x30,breit, ,U,Sch   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,87
88,a2012,zT Aq B   ,21x30,breit, ,U,   ,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,88
89,a2012,Fa     ,21x30,breit, ,U,   ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,89
90,a2015,B     ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,90
91,a2011,OPa     ,21x30,breit, ,U,   ,Fst,H1,b,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,91
92,a2012,zT T B   ,21x30,breit, ,U,Lst   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,92
93,a2011,zT Dd T   ,21x30,breit,Gi ,Gs,St F  ,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,93
94,a2011,G     ,21x30,breit, ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,94
95,a2011,Mt Dd G Fs  ,21x30,breit, ,U,Lst   ,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,95
96,a2011,G     ,21x30,breit, ,U,   ,Fst,H2,m,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,96
97,a2012,Mt B Opl Fs  ,21x30,breit, ,U,Lwi   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,97
98,a2015,zT B Dd   ,21x30,breit, ,U,   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,98
99,a2011,zT Aq Dd   ,21x30,breit, ,UnG,F St  ,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,99
100,a2015,Ko     ,21x30,breit, ,U,   ,Fst,H1,y,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,100
101,a2016,zT T G   ,21x30,breit, ,UoG,F St  ,Fst,H2,v,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,101
102,a2011,Aq     ,21x30,breit, ,U,   ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,102
103,a2012,T     ,21x30,breit, ,UoG,F St  ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,103
104,a2011,C     ,21x30,breit, ,UoG,F St  ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,104
105,a2012,Opl     ,21x30,breit, ,UoG,F St  ,Fst,H2,v,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,105
106,a2012,Opl     ,21x30,breit,Lwi ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,106
107,a2011,zT G C   ,21x30,breit, ,U,   ,Fst,H2,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,107
108,a2012,Mt T B Fs  ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,108
109,a2012,G     ,21x30,breit,Gi ,U,   ,Fst,H3,v,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,109
110,a2011,Mt Dd G B Ks ,21x30,breit, ,U,Sch   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,110
111,a2012,G     ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,111
112,a2011,G     ,21x30,breit, ,U,   ,Fst,H2,b,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,112
113,a2011,Mt Dd Fa B  ,21x30,breit, ,U,Sch   ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,113
114,a2011,Mt Dd Aq B  ,21x30,breit, ,U,Sch   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,114
115,a2011,Mt Dd B T  ,21x30,breit, ,UoG,Ar   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,115
116,a2012,zT T C   ,21x30,breit, ,U,   ,Fst,H4,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,116
117,a2010,G     ,21x30,breit, ,U,   ,Fst,H3,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,117
118,a2012,zT B Fs   ,21x30,breit, ,U,Ca   ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,118
119,a2011,zT Dd B   ,21x30,breit, ,U,Gi   ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,119
120,a2015,B     ,21x30,breit,Lwi sM,U,   ,Fst,H2,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,120
121,a2011,G     ,21x30,breit, ,Gs,St F  ,Fst,H2,y,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,121
122,a2013,zT Fa G   ,21x30,breit, ,Gs,St F  ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,122
123,a2011,T     ,21x30,breit, ,UoG,St F  ,Fst,H3,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,123
124,a2011,Aq     ,21x30,breit, ,UoG,St F  ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,124
125,a2011,zT Dd G   ,21x30,breit, ,U,BiB   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,125
126,a2011,zT B G   ,21x30,breit, ,U,   ,Fst,H2,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,126
127,a2012,zT Aq Ko   ,21x30,breit,Ul ,Gs,St F  ,Fst,H1,g,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,127
128,a2011,zT Aq Dd   ,21x30,breit, ,Gs,St Sch F ,Fst,H2,g,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,128
129,a2014,B     ,21x30,breit, ,UoG,St F  ,Fst,H1,bw,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,129
130,a2012,zT Fa Dd   ,21x30,breit, ,U,St F  ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,130
131,a2012,Mt B Kh G T ,21x30,breit, ,UoG,St F  ,Fst,H3,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,131
132,a2012,Fa     ,21x30,breit, ,Gs,St F  ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,132
133,a2016,zT Fa Ac   ,21x30,breit, ,U,   ,Fst,H1,cf,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,133
134,a2012,Mt Dd B G  ,21x30,breit, ,UnG,BiB   ,Fst,H2,gr,"ParPC, Par9a",,Früchtestillleben (nach Paul Cézanne),iBdK,,,,134
135,a2012,Mt Dd C Kh  ,21x30,breit,Lwi ,UoG,F St  ,Fst,H1,gr,ParPC,,Früchtestillleben (nach Paul Cézanne),iBdK,,,,135
