Nummer,Jahr,Technik,Format,Ausrichtung,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
902,a2012,G     ,21x30,breit, ,UnG,L mF O ,WG38,H3,v,ParFV,sko,Des sables au bord de la Loire (d'après Félix Vallotton),iBdK,,,,902
903,a2012,G     ,21x30,breit, ,UnG,O   ,WG38,H3,cf,ParFV,,Des sables au bord de la Loire (d'après Félix Vallotton),iBdK,,,,903
904,a2011,OL     ,50x60,breit,Mo ,UnG,F St O ,WG1,H4,cf,ParFV,,"Paraphrase zu Félix Vallottons ""Rote Pfefferfrüchte auf rundem, weisslackiertem Tisch""",iBdK,,,,904
905,a2011,OL     ,50x60,breit,Mo ,UnG,F St  ,WG1,H3,cf,ParFV,,"Paraphrase zu Félix Vallottons ""Stillleben: Äpfel, Birnen, Tomaten, Eier ...""",iBdK,,,,905
906,a2014,OL     ,30x40,breit,Mo ,UnG,F Sch O ,WG1,H3,cf,ParFV,,Rote Pfefferfrüchte (nach Félix Vallotton),iBdK,,,,906
907,a2008,OP     ,67x89,breit,Mo ,UnG,L Ar  ,WG1,H3,g,ParFV,,"nach ""Château Gaillard"" von Félix Vallotton",iBdK,,,Kat.OP.599,907
908,a2008,OP     ,67x89,breit,Mo ,UnG,L O  ,WG1,H3,cf,ParFV,,"nach ""Coucher de soleil avec barque échouée"" von Félix Vallotton",iBdK,,,Kat.OP.571,908
909,a2010,OP     ,67x89,breit,Mo ,UnG,AX   ,WG1,H2,cf,ParFV,,Andromède enchaînée (d'après Félix Vallotton),iBdK,,,Kat.OP.350,909
910,a2009,OP     ,67x89,breit,Mo ,UnG,L mF Pf O,WG1,H3,g,ParFV,,"""Des sables au bord de la Loire"" (d'après Félix Vallotton)",iBdK,,,Kat.OP.623,910
911,a2009,OP     ,67x89,breit,Mo ,UnG,L Pf  ,WG1,H3,cf,ParFV,,"""La Loire à Nevers"" (d'après Félix Vallotton)",iBdK,,,Kat.OP.624,911
912,a2014,OL     ,60x50,hoch, ,Gs,AX Sch  ,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,912
913,a2014,OL     ,60x50,hoch, ,Gs,AX Sch  ,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,913
914,a2014,OL     ,60x50,hoch, ,Gs,AX Sch  ,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,914
915,a2014,OL     ,60x50,hoch, ,Gs,AX Sch  ,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,915
916,a2009,OL     ,75x90,breit, ,UnG,AX P L ,WG21,H3,cf,ParFV,,Herrin und Dienerin (nach Félix Vallotton),iBdK,,,,916
917,a2014,zT T C   ,46x33,hoch, ,Gs,AX   ,WG16,H3,bw,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,917
918,a2014,OP     ,67x89,breit,Lst ,U,   ,WG33,H4,cf,ParFV,,Le rayon de soleil (d'après Félix Vallotton,iBdK,,,Kat.OP.656,918
919,a2013,OP     ,40x32,hoch,Lst ,U,   ,WG33,H4,cf,ParFV,,"Coin de port le soir, Honfleur (d'après Félix Vallotton)",iBdK,,,Kat.OP.655,919
920,a2013,OP     ,41x55,breit,Ul ,U,   ,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),iBdK,,,Kat.OP.657,920
921,a2013,OP     ,41x67,breit, ,U,   ,WG33,H3,cf,ParFV,,"Coucher de soleil, Villerville (d'après Félix Vallotton)",iBdK,,,Kat.OP.654,921
922,a2015,OL     ,53x40,hoch, ,U,   ,WG33,H3,cf,ParFV,,"Weisser Strand, Vasouy (nach Félix Vallotton)",iBdK,,,,922
923,a2014,OL     ,56x40,hoch,Lst ,U,   ,WG33,H4,g,ParFV,,Le château Gaillard (d'après Félix Vallotton),iBdK,,,,923
924,a2015,OL     ,50x70,breit,Lst ,U,   ,WG33,H3,b,ParFV,,"Das Bad, Sommerabend (nach Félix Vallotton)",iBdK,,,,924
925,a2014,OL     ,30x30,quadratisch,Lst ,U,   ,WG33,H4,cf,ParFV,,La Dordogne à Beynac (d'après Félix Vallotton),iBdK,,,,925
926,a2014,OL     ,30x30,quadratisch,Ul ,U,   ,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),iBdK,,,,926
927,a2013,OL     ,59x83,breit,Ul Lst,U,   ,WG33,H3,cf,ParFV,,Les mouettes (d'après Félix Vallotton),iBdK,,,,927
928,a2014,OL     ,65x82,breit,Lst ,U,   ,WG33,H3,cf,ParFV,,Die Place Clichy in Paris (nach Félix Vallotton),iBdK,,,,928
929,a2014,OL     ,65x82,breit,Lst ,U,   ,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),iBdK,,,,929
930,a2012,G     ,35x40,breit, ,Gs,F St O ,WG38,H4,cf,ParFV,,"""Cinq gros piments rouges sur une table laquée blanc"" (d'après Félix Vallotton)",iBdK,,,,930
931,a2013,OP     ,67x89,breit,Lst ,UnG,L Pf  ,WG22,H2,cf,ParFV,,"Digue de Honfleur, soleil couchant (d'après Félix Vallotton)",iBdK,,,Kat.OP.326,931
932,a2013,OP     ,67x89,breit, ,UnG,AX P  ,WG22,H4,cf,ParFV,,La haine (d'après Félix Vallotton),iBdK,,,Kat.OP.284,932
933,a2013,OP     ,67x89,breit,Lst ,UnG,AX   ,WG22,H4,g,ParFV,,Femme nue couchée dormant (d'après Félix Vallotton),iBdK,,,Kat.OP.302,933
934,a2014?,G     ,36x49?,breit,Schü ,UnG,O mF  ,WG15,H4,cf,ParFV,,Le 1er janvier (d‘après Félix Vallotton) ,iBdK,,,,934
935,a1983,T     ,21x19?,hoch, ,Gs,St Pf O Ec,,H3,gr,,,Composición agrotropical,iBdK,,,,935
936,a1973,OL     ,18x18,quadratisch, ,U,   ,,H3,b,,,,iBdK,,,,936
937,a1973,zT Opl T   ,20x15,hoch, ,Gs,mF FigG  ,,H4,bw,,,,iBdK,,,,937
938,a1973,zT B Fs   ,16x22,breit, ,Gs,Tie   ,,H2,b,,,FISCH MIT WICHTIGER BOTSCHAFT,iBdK,,,,938
939,a1973,zT Opl T   ,24x27,breit, ,U,   ,,H3,bw,,,,iBdK,,,,939
940,a1973,zT Opl T   ,25x30,breit, ,U,   ,,H4,bw,,ste,,iBdK,,,,940
941,a1975,Mt OP B T   ,22x20,hoch, ,Gs,A FigG  ,,H3,gr,,waa,,iBdK,,,,941
942,a1980,G     ,18x19,breit, ,Gs,mF O bb FigR,,H3,cf,,,,iBdK,,,,942
943,a1981,zT G R   ,20x24,hoch, ,Gs,AX P FigR BiB,,H4,v,Par5,,Triton und Nereïde,iBdK,,,,943
944,a1981,Mt R OPa G  ,27x31,breit, ,Gs,A lL FigR At,,H4,cf,,sko,,iBdK,,,,944
945,a1981,G     ,31x39,breit, ,Gs,A   ,,H3,cf,,,,iBdK,,,,945
946,a1981,zT G Fa   ,22x25,breit, ,Gs,Ri O FigR ,,H3,cf,,,,iBdK,,,,946
947,a1981,zT G Fa   ,22x25,breit, ,Gs,Ri FigR Sch ,,H4,v,,,,iBdK,,,,947
948,a1981,zT G Fa   ,22x25,breit, ,Gs,mF O FigR Pf,,H3,cf,,,,iBdK,,,,948
949,a1981,zT G Fa   ,22x25,breit, ,Gs,mF O  ,,H3,cf,,,,iBdK,,,,949
950,a1983,G     ,20x22,breit, ,Gs,St O Pf ,,H3,cf,,sti,,iBdK,,,,950
951,a1983,G     ,25x28,breit, ,Gs,A So  ,,H2,cf,,,,iBdK,,,,951
952,a1984,G     ,25x19,hoch, ,Gs,A   ,,H3,cf,,,,iBdK,,,,952
953,a1982,Mt T B G  ,25x30,breit, ,Gs,mF O FigR ,,H4,gr,,,,iBdK,,,,953
954,a1983,Mt B Dp Bz  ,20x22,breit, ,Gs,A FigR  ,,H3,gr,,,,iBdK,,,,954
955,a1983,zT B Dp   ,25x30,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,955
956,a1980,Mt B G T  Kh ,32x30,hoch, ,Gs,sB   ,,H2,gr,,,,iBdK,,,,956
957,a1981,B     ,25x27,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,957
958,a1983,zT B Dp   ,28x36,breit, ,Gs,A O  ,,H1,gr,,,,iBdK,,,,958
959,a1982,zT B Dp   ,41x36,hoch, ,Gs,A   ,,H2,gr,,,,iBdK,,,,959
960,a1983,zT B Dp   ,31x25,hoch, ,Gs,O Ec  ,,H4,gr,,,,iBdK,,,,960
961,a1983,Mt B Dp R  ,44x37,hoch, ,Gs,Ti bb O Ec,,H2,gr,,,la raya que dividió al mundo,iBdK,,,,961
962,a1982,zT B Dp   ,29x35,breit, ,Gs,A bb O FigR,,H3,gr,,,,iBdK,,,,962
963,a1983,zT B Dp   ,29x40,breit, ,Gs,A lL  ,,H5,bw,,sko,,iBdK,,,,963
964,a1983,B     ,22x31,breit, ,Gs,A FigR  ,,H1,bw,,,,iBdK,,,,964
965,a1981,B     ,30x33,breit, ,Gs,A   ,,H1,bw,,,,iBdK,,,,965
966,a1981,B     ,26x31,breit,Fro ,Gs,A   ,,H2,bw,,,,iBdK,,,,966
967,a1981,B     ,21x29,breit, ,Gs,A   ,,H1,bw,,,,iBdK,,,,967
968,a1979,zT B T   ,22x27,breit, ,Gs,A lL FigR ,,H2,gr,,,,iBdK,,,,968
969,a1980,B     ,22x20,hoch, ,Gs,A   ,,H2,gr,,,,iBdK,,,,969
970,a1986,T     ,29x33,breit, ,UoG,A L  ,,H3,bw,,,,iBdK,,,,970
971,a1985,T     ,26x29,breit, ,UoG,A L  ,,H3,bw,,,,iBdK,,,,971
972,a1985,T     ,28x35,breit, ,UoG,A Pf  ,,H3,bw,,,,iBdK,,,,972
973,a1985,T     ,32x38,breit, ,UoG,A L  ,,H2,bw,,,,iBdK,,,,973
974,a1983,T     ,28x33,breit, ,Gs,O Ec  ,,H3,gr,,,,iBdK,,,,974
975,a1986,zT T Pm   ,36x33,hoch, ,UoG,   ,,H3,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,975
976,a1986,zT T Pm   ,37x33,hoch, ,UoG,   ,,H4,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,976
977,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H2,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,977
978,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H3,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,978
979,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H4,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,979
980,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H2,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,980
981,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H3,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,981
982,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H3,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,982
983,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H2,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,983
984,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H3,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,984
985,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H3,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,985
986,a1986,zT T Pm   ,30x40,breit, ,UoG,   ,,H2,b,Par7a,,eine kleine Hommage an den grossen Josef,iBdK,,,,986
987,a1983,Mt Lk Dp R  ,29x38,breit, ,Gs,Sb O  ,,H2,gr,,,,iBdK,,kR,,987
988,a1982,zT B Dp   ,40x49,breit, ,Gs,A Sta FigR ,,H1,gr,,,,iBdK,,,,988
989,a1983,zT B Dp   ,28x34,breit, ,Gs,A O  ,,H2,gr,,,in der Ausstellung P.L.Meier,iBdK,,,,989
990,a1983,zT B Dp   ,25x33,breit, ,Gs,A O  ,,H2,gr,,,in der Ausstellung P.L.Meier,iBdK,,,,990
991,a1983,zT B G   ,23x20,hoch, ,Gs,A   ,,H4,gr,,,,iBdK,,,,991
992,a1983,Mt B Dp R  ,33x44,breit, ,Gs,A   ,,H3,gr,,,,iBdK,,,,992
993,a1983,zT B Dp   ,27x47,breit, ,Gs,A O Sta ,,H3,gr,,,,iBdK,,,,993
994,a1983,Mt B Dp R  ,32x33,breit, ,Gs,A O lL ,,H3,gr,,,,iBdK,,,,994
995,a1983,zT Dp B   ,22x26,breit, ,Gs,A O FigR ,,H2,gr,,,,iBdK,,,,995
996,a1983,zT B Dp   ,26x28,breit, ,Gs,A Sch  ,,H2,gr,,,,iBdK,,,,996
997,a1983,Mt B Dp R  ,34x24,hoch, ,Gs,A O  ,,H3,gr,,,,iBdK,,,,997
998,a1983,Mt B Dp R  ,32x38,breit, ,Gs,A O FigR ,,H3,gr,,,,iBdK,,,,998
999,a1983,B     ,25x22,hoch, ,Gs,A   ,,H3,bw,,,,iBdK,,,,999
1000,a1983,Mt B Dp R  ,34x33,hoch, ,Gs,A O  ,,H2,gr,,,,iBdK,,,,1000
1001,a1983,zT B T   ,27x22,hoch, ,Gs,A   ,,H3,gr,,,,iBdK,,,,1001
1002,a1983,Mt B Dp R  ,38x53,breit, ,Gs,A O So ,,H2,gr,,,,iBdK,,,,1002
1003,a1983,Mt B Dp R  ,52x40,hoch, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1003
1004,a1983,B     ,33x50,breit, ,Gs,A   ,,H1,bw,,,,iBdK,,,,1004
1005,a1983,Mt B Dp R  ,22x28,breit, ,Gs,A O  ,,H2,gr,,,,iBdK,,,,1005
1006,a1983,zT B Dp   ,40x45,breit, ,Gs,A O  ,,H1,gr,,,,iBdK,,,,1006
1007,a1983,Mt B Dp R  ,32x47,breit, ,Gs,A   ,,H2,gr,,sko,La Part Dieu,iBdK,,,,1007
1008,a1983,zT B Dp   ,31x43,breit, ,Gs,A bb  ,,H1,gr,,,,iBdK,,,,1008
1009,a1983,B     ,31x37,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1009
1010,a1983,B     ,30x22,hoch, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1010
1011,a1983,B     ,24x32,breit, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1011
1012,a1983,zT B Dp   ,25x32,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1012
1013,a1983,Mt B Dp R  ,38x29,hoch, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1013
1014,a1983,Mt B Dp R  ,31x32,breit, ,Gs,A O  ,,H2,gr,,,,iBdK,,,,1014
1015,a1983,zT B Dp   ,30x26,hoch, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1015
1016,a1983,zT B Dp   ,24x20,hoch, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1016
1017,a1983,zT B Dp   ,20x24,breit, ,Gs,A O  ,,H2,gr,,,,iBdK,,,,1017
1018,a2002?,OP     ,25x41,breit, ,UnG,Kt   ,,H3,cf,ParPK,,,iBdK,,,,1018
1019,a2004?,OP     ,25x41,breit, ,Gs,Ri Sch  ,,H4,b,,,Belsazar,"Simon Messer, Bern",,,,1019
1020,a2000,OP     ,25x41,breit, ,UoG,Ar   ,,H3,cf,,,doors wide open,iBdK,,,Kat.OP.169,1020
1021,a2003,OP     ,25x41,breit,Lst ,U,   ,,H2,gr,,,,iBdK,,,Kat.OP.16,1021
1022,a2003?,OP     ,25x41,breit, ,U,   ,,H3,cf,,,,"Ana Holenstein, Bern",,,Kat.OP.266,1022
1023,a2003,OP     ,25x41,breit, ,UnG,Ri Sb  ,,H3,cf,,,Selbst (süss-sauer),iBdK,,,Kat.OP.145,1023
1024,a2000,OP     ,25x41,breit, ,Gs,A Vo  ,,H4,cf,,,M,iBdK,,,Kat.OP.209,1024
1025,a2003,OP     ,25x41,breit, ,UoG,mF Sch O ,,H3,cf,,,ship of fools (four painters - for Cecil Collins),iBdK,,,Kat.OP.265,1025
1026,a2003,OP     ,25x41,breit, ,U,   ,,H4,g,,,Neon,iBdK,,,Kat.OP.49,1026
1027,a2003,OP     ,25x41,breit,Lst ,U,   ,,H4,cf,,,,iBdK,,,Kat.OP.249,1027
1028,a2000,OP     ,25x41,breit, ,U,   ,,H2,cf,,,Vase,iBdK,,,Kat.OP.54,1028
1029,a2003,OP     ,25x41,breit, ,U,   ,,H3,gr,,fis,,iBdK,,,Kat.OP.240,1029
1030,a2000,OP     ,25x41,breit, ,UoG,P   ,,H2,cf,,,Strandszene,iBdK,,,Kat.OP.184,1030
1031,a2003?,OP     ,25x41,breit, ,U,   ,,H4,g,,,,"Michèle Winkler, Bern",,,,1031
1032,a2000,OP     ,25x41,breit, ,UnG,Mw A  ,,H2,g,,,FAUN,"Ana Holenstein, Bern",,,,1032
1033,a2000,OP     ,25x41,breit, ,UoG,Gä   ,,H3,g,,,japanischer Garten,iBdK,,,Kat.OP.25,1033
1034,a2010?,OL     ,90x120?,breit,Mo ,UnG,Ar   ,,H4,cf,ParEH,,Room for Tourists (nach Edward Hopper),"Erika Michel, Burgdorf",,,,1034
1035,a2001,OP     ,54x67,breit, ,UnG,mF P  ,Pro,H5,v,Par5,,"""Sonnenuntergang (Brüder)"" nach C.D. Friedrich",iBdK,,,Kat.OP.134,1035
1036,a2005,OP     ,54x67,breit, ,U,   ,Pro,H3,c,ParME,,kleine Hommage an den grossen Max,iBdK,,,Kat.OP308,1036
1037,a2009,OP     ,41x67,breit, ,UoG,BiB   ,,H2,y,Par4,,kleine Improvisation (frei nach Claude Lorrain),iBdK,,,Kat.OP.593,1037
1038,a2008,OP     ,41x67,breit,Mo ,UnG,Ar   ,,H4,c,ParGOK,,"nach ""Barn with Snow"" von Georgia O'Keeffe",iBdK,,,Kat.OP.608,1038
1039,a2005?,OP     ,41x55,breit, ,Gs,AP P  ,,H3,g,Par1,,Geb und Nut,iBdK,,,bei Regula Straumann,1039
1040,a1993,Opl     ,16x21,breit, ,U,   ,,H3,g,,,,iBdK,,x,,1040
1041,a1977,OP     ,40x47,breit, ,U,   ,,H4,c,,,,iBdK,,,,1041
1042,a1973,OP     ,65x61,hoch, ,UoG,O   ,,H3,b,,,,iBdK,,,,1042
1043,a1975,OPa      ,51x49,hoch, ,U ,   ,,H3,cf,,,,iBdK,,,,1043
1044,a1992,Ls C    ,49x67,breit,ovÖ ,U,   ,,H3,cf,,,Bhadravati ,iBdK,,,,1044
1045,a1977,zT Opl B   ,60x47,hoch, ,U,   ,,H2,b,,waa,,iBdK,,,,1045
1046,a2002,Od     ,21x21,quadratisch, ,UnG,mF Ar  ,,H4,bw,,,Accumulazione,iBdK,,,"Rivista EOS, Piero Varroni, Rom, mit Text von Benz Schär, Bern",1046
1047,a1973,Opl     ,15x30,breit, ,U,   ,,H4,cf,,,,iBdK,,,,1047
1048,a1991,B     ,29x38,breit,Lwi ,U,   ,,H2,bw,,kre,,iBdK,,,,1048
1049,a1997,OP     ,55x75,breit, ,U,   ,,H4,c,,,,"Regula Straumann, Muttenz",,,,1049
1050,a1997,OL     ,114x146,breit, ,UoG,L   ,,H3,c,,,,"Edgar Baer, Basel",,,,1050
1051,a1978,K     ,56x76,breit, ,UoG,L   ,,H3,bw,,sko,,"Frau Lange, Muri ?",,,,1051
1052,a1998,Mt B T Pk  ,42x30,hoch, ,Gs,A   ,,H2,gr,,waa,,"Susanna Brändli, Bern",,,"aus dem Unterricht von Ruth Eisenhart, London",1052
1053,a1998,zT B Pk   ,42x30,hoch, ,Gs,A   ,,H2,gr,,,,"Susanna Brändli, Bern",,,"aus dem Unterricht von Ruth Eisenhart, London",1053
1054,a1998,zT B T   ,42x30,hoch, ,Gs,A   ,,H2,gr,,,,"Susanna Brändli, Bern",,,"aus dem Unterricht von Ruth Eisenhart, London",1054
1055,a1998,zT B G   ,42x30,hoch, ,Gs,A   ,,H1,gr,,,,"Susanna Brändli, Bern",,,,1055
1056,a2002,zT B T   ,44x55,breit, ,Gs,Z Sb A FigG,,H3,gr,,,,"Susanna Brändli, Bern",,,,1056
1057,a1987,OP     ,40x48,breit, ,UoG,L   ,,H4,cf,,,,"Susanna Brändli, Bern",,,,1057
1058,a1991,OP     ,51x59,breit, ,UoG,L   ,,H4,c,,,,"Susanna Brändli, Bern",,,,1058
1059,a2018,OP     ,41x55,breit,Ul ,UoG,At Sch  ,,H4,cf,,,"Atelier, panisch",iBdK,,,Kat.OP.347,1059
1060,a2006,OP     ,32x41,breit,Lst ,U,   ,,H3,g,ParPK,,"nach Klees ""Schöpfer"" (verheddert)",iBdK,,,Kat.OP.422,1060
1061,a2008,OP     ,32x41,breit,Ul ,UnG,Ar   ,,H4,cf,ParEH,,"nach ""Couast Guard Station"" von Edward Hopper",iBdK,,,Kat.OP.173,1061
1062,a2005,OP     ,32x41,breit,Lst ,UnG,KiA Vo  ,,H2,b,Par4,,Atelier (nach Vermeer),iBdK,,,Kat.OP.370,1062
1063,a2006,OP     ,32x41,breit,Lst ,UoG,L   ,,H3,cf,ParME,,eine kleine Hommage an den grossen Max,iBdK,,,Kat.OP.511,1063
1064,a2004?,OP     ,32x41,breit, ,UnG,AP Pf Kt ,,H4,g,ParME,,...nach Max Ernst,iBdK,,,bei Regula Straumann,1064
1065,a1975,OPa      ,60x45?,hoch, ,U,   ,,H4,b,,,der schatten des körpers des kutschers,iBdK,,,,1065
1066,a2004?,OP     ,32x41,breit,Mo ,UnG,FigG AP L ,WG1,H4,cf,ParFV,,Pentheus (nach Félix Vallotton),iBdK,,,bei Regula Straumann,1066
1067,a2005,zT T B   ,21x30,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1067
1068,a2001,zT B T   ,21x30,breit, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1068
1069,a2008,zT B T   ,21x30,breit, ,Gs,A   ,,H2,gr,,,Dreiklang,iBdK,,,,1069
1070,a2003,B     ,21x30,breit, ,Gs,A   ,,H2,b,,,Crouching nude,iBdK,,,,1070
1071,a2007,zT B Dd   ,21x30,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1071
1072,a2007,zT B Fa   ,21x30,breit, ,Gs,A   ,,H2,gr,,waa,,iBdK,,,,1072
1073,a2001,Mt B T G  ,21x30,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1073
1074,a2006,zT B G   ,21x30,breit, ,Gs,A O Ca ,,H1,gr,,,,iBdK,,,,1074
1075,a2007,Mt B Fa Dd  ,21x30,breit, ,Gs,A Ca  ,,H1,gr,,,,iBdK,,,,1075
1076,a2006,zT B Dd   ,21x28,breit, ,Gs,A Pf Ca ,,H1,bw,,zwi,Dreiklang,iBdK,,,,1076
1077,a2015,Mt B G Fa  ,21x30,breit, ,Gs,A   ,,H2,gr,,,beati (für Beat Zbinden),iBdK,,,,1077
1078,a2005,B     ,21x30,breit, ,UnG,A   ,,H2,bw,,,,iBdK,,,,1078
1079,a2001,Mt B T G Fs ,21x30,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1079
1080,a2005,B     ,21x30,breit, ,Gs,A   ,,H1,bw,,,,iBdK,,,,1080
1081,a2005,zT B T   ,21x30,breit, ,Gs,A Ca  ,,H1,gr,,,,iBdK,,,,1081
1082,a2008,zT B Ks   ,21x30,breit, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1082
1083,a2007,zT Con Dd   ,21x30,breit,Lst ,UnG,A   ,,H3,gr,,,Vorhang,iBdK,,,,1083
1084,a2003,B     ,21x28,breit, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1084
1085,a2015,B     ,9x12,breit, ,UnG,A   ,,H2,bw,,,,iBdK,,,,1085
1086,a2015,B     ,9x12,breit, ,Gs,A   ,,H3,bw,,,reclining figure,iBdK,,,,1086
1087,a2017,B     ,9x12,breit, ,UoG,A   ,,H2,bw,,,irgendwo draussen,iBdK,,,,1087
1088,a2017,B     ,9x12,breit, ,Gs,A Sch Pf ,,H3,bw,,,femme debout,iBdK,,,,1088
1089,a2015,B     ,14x15,breit, ,Gs,A   ,,H1,bw,,,Artistin,iBdK,,,,1089
1090,a2002,zT B OPa   ,17x20,breit, ,Gs,A   ,,H2,v,,,,iBdK,,,,1090
1091,a2002,zT B OPa   ,16x21,breit, ,Gs,A   ,,H3,v,,,,iBdK,,,,1091
1092,a2002,Mt OPa  Ac B  ,17x21,breit, ,Gs,A   ,,H4,cf,,,,iBdK,,,,1092
1093,a2002,OPa      ,15x21,breit, ,Gs,A   ,,H2,cf,,,,iBdK,,,,1093
1094,a2002,zT Opl Ac   ,17x21,breit, ,Gs,A   ,,H4,v,,,,iBdK,,,,1094
1095,a2002,Mt B OPa Ac  ,17x21,breit, ,Gs,A   ,,H4,v,,,,iBdK,,,,1095
1096,a2002,Mt B OPa Ac  ,17x21,breit, ,Gs,A   ,,H3,cf,,,,iBdK,,,,1096
1097,a2004,zT Ac OPa   ,21x23,breit, ,Gs,A   ,,H3,cf,,,,iBdK,,,,1097
1098,a2002,G     ,21x28,breit, ,Gs,A   ,,H2,b,,,,iBdK,,,,1098
1099,a1987,T     ,17x19,breit, ,U,   ,,H4,bw,,,,iBdK,,,,1099
1100,a1982,B     ,21x17,hoch, ,Gs,A   ,,H2,b,,,,iBdK,,,,1100
1101,a1982,B     ,15x21,breit, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1101
1102,a1982,B     ,15x21,breit, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1102
1103,a1982,B     ,15x21,breit, ,Gs,A   ,,H1,gr,,,,iBdK,,,,1103
1104,a1982,B     ,21x15,hoch, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1104
1105,a1982,B     ,21x15,hoch, ,Gs,A   ,,H2,gr,,,,iBdK,,,,1105
1106,a1982,Opl     ,21x27,breit, ,Gs,A bb  ,,H2,gr,,,,iBdK,,,,1106
1107,a1981,Mt B Dp Fa  ,19x22,breit, ,Gs,A   ,,H2,gr,,,enceinte,iBdK,,,,1107
1108,a2001,zT T Opl   ,21x30,breit, ,Gs,A Sch  ,,H3,gr,,,,iBdK,,,,1108
1109,a1987,T     ,54x41,hoch, ,Gs,A   ,,H2,bw,,ste,,iBdK,,,,1109
1110,a1987,T     ,41x57,breit, ,Gs,A   ,,H3,bw,,,,iBdK,,,,1110
1111,a1987,T     ,38x48,breit, ,Gs,A   ,,H2,bw,,,,iBdK,,,,1111
1112,a1987,T     ,38x44,breit, ,U,A   ,,H4,bw,,,,iBdK,,,,1112
1113,a1987,zT T Aq   ,24x32,breit,RiK ,UoG,L    ,,H5,gr,,,,iBdK,,,,1113
1114,a1987,zT T Aq   ,24x32,breit,RiK ,UoG,L    ,,H4,gr,,,,iBdK,,,,1114
1115,a1987,zT T Aq   ,24x32,breit,RiK ,UoG,L   ,,H4,gr,,,,iBdK,,,,1115
1116,a1987,T     ,29x33,breit, ,UoG,   ,,H3,bw,,,,iBdK,,kR,,1116
1117,a1987,T     ,38x46,breit, ,U,   ,,H3,bw,,,,iBdK,,,,1117
1118,a1987,T     ,35x38,breit, ,U,   ,,H4,bw,,,,iBdK,,,,1118
1119,a1986,T     ,26x38,breit, ,U,   ,,H4,bw,,,,iBdK,,,,1119
1120,a1986,T     ,31x39,breit, ,U,   ,,H3,bw,,,,iBdK,,,,1120
1121,a1986,T     ,28x33,breit, ,U,   ,,H4,bw,,,,iBdK,,,,1121
1122,a1986,T     ,35x52,breit, ,U,   ,,H2,bw,,,,iBdK,,,,1122
