Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Nummer,path,thumb,Techniken,Motiven,Darstellungsformen
0017,2012,Mt,Dd,B,Fs,,21x30,klein,breit,sM,Lst,UnG,O,,,,Fst,H3,bw,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0017,images/WV_ab 0001/0017_2012_Od_B_Fs_A4_F_PPC_was_H3.jpg,images/WV_ab 0001/thumb/0017_2012_Od_B_Fs_A4_F_PPC_was_H3.jpg,Mt Dd B Fs ,O   ,sM Lst
0018,2011,zT,Dd,B,,,21x30,klein,breit,Ul,,Gs,F,St,Sch,,Fst,H1,y,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0018,images/WV_ab 0001/0018_2011_B_A4_F_PPC_was_H1.jpg,images/WV_ab 0001/thumb/0018_2011_B_A4_F_PPC_was_H1.jpg,zT Dd B  ,F St Sch ,Ul 
0019,2011,Mt,Dd,B,T,Kh,21x30,klein,breit,Lwi,Ul,U,,,,,Fst,H2,gr,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0019,images/WV_ab 0001/0019_2011_M_A4_F_PPC_was_H2.jpg,images/WV_ab 0001/thumb/0019_2011_M_A4_F_PPC_was_H2.jpg,Mt Dd B T Kh,   ,Lwi Ul
0020,2011,zT,Dd,T,,,21x30,klein,breit,Lst,Ul,U,Sch,,,,Fst,H1,gr,ParPC,was,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0020,images/WV_ab 0001/0020_2011_Dd_T_A4_F_PPC_was_H1.jpg,images/WV_ab 0001/thumb/0020_2011_Dd_T_A4_F_PPC_was_H1.jpg,zT Dd T  ,Sch   ,Lst Ul
0021,2011,G,,,,,21x30,klein,breit,,,U,,,,,Fst,H1,b,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0021,images/WV_ab 0001/0021_2011_G_A4_F_PPC_fis_H1.jpg,images/WV_ab 0001/thumb/0021_2011_G_A4_F_PPC_fis_H1.jpg,G    ,   , 
0022,2016,zT,T,Ac,,,21x30,klein,breit,,,U,,,,,Fst,H1,bw,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0022,images/WV_ab 0001/0022_2016_T_Ac_A4_F_PPC_fis_H1.jpg,images/WV_ab 0001/thumb/0022_2016_T_Ac_A4_F_PPC_fis_H1.jpg,zT T Ac  ,   , 
0023,2011,G,,,,,21x30,klein,breit,,,U,,,,,Fst,H2,cf,ParPC,fis,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0023,images/WV_ab 0001/0023_2011_G_A4_F_PPC_fis_H2.jpg,images/WV_ab 0001/thumb/0023_2011_G_A4_F_PPC_fis_H2.jpg,G    ,   , 
0024,2016,Mt,Pk,G,Fa,,21x30,klein,breit,Lst,,UoG,F,St,,,Fst,H2,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0024,images/WV_ab 0001/0024_2016_G_Fa_Pk_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0024_2016_G_Fa_Pk_A4_F_PPC_H2.jpg,Mt Pk G Fa ,F St  ,Lst 
0025,2011,B,,,,,21x30,klein,breit,,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0025,images/WV_ab 0001/0025_2011_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0025_2011_B_A4_F_PPC_H1.jpg,B    ,   , 
0026,2011,Mt,Dd,B,G,Fs,21x30,klein,breit,,,U,,,,,Fst,H2,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0026,images/WV_ab 0001/0026_2011_B_Fs_G_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0026_2011_B_Fs_G_A4_F_PPC_H2.jpg,Mt Dd B G Fs,   , 
0027,2012,B,,,,,21x30,klein,breit,sM,Lwi,U,,,,,Fst,H2,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0027,images/WV_ab 0001/0027_2012_B_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0027_2012_B_A4_F_PPC_H2.jpg,B    ,   ,sM Lwi
0028,2016,G,,,,,21x30,klein,breit,,,U,,,,,Fst,H2,v,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0028,images/WV_ab 0001/0028_2016_G_A4_F_PPC_H2.jpg,images/WV_ab 0001/thumb/0028_2016_G_A4_F_PPC_H2.jpg,G    ,   , 
0029,2011,B,,G,,,21x30,klein,breit,,,U,,,,,Fst,H1,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0029,images/WV_ab 0001/0029_2011_B_G_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0029_2011_B_G_A4_F_PPC_H1.jpg,B  G  ,   , 
0030,2012,Mt,Dd,B,G,Fs,21x30,klein,breit,,,U,,,,,Fst,H3,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0030,images/WV_ab 0001/0030_2012_M_A4_F_PPC_H3.jpg,images/WV_ab 0001/thumb/0030_2012_M_A4_F_PPC_H3.jpg,Mt Dd B G Fs,   , 
0031,2011,B,B,G,,,21x30,klein,breit,Lwi,,U,,,,,Fst,H1,cf,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0031,images/WV_ab 0001/0031_2011_B_G_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0031_2011_B_G_A4_F_PPC_H1.jpg,B B G  ,   ,Lwi 
0032,2011,B,,,,,21x30,klein,breit,Lst,,U,,,,,Fst,H1,bw,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0032,images/WV_ab 0001/0032_2011_B_A4_F_PPC_H1.jpg,images/WV_ab 0001/thumb/0032_2011_B_A4_F_PPC_H1.jpg,B    ,   ,Lst 
0033,2011,Mt,Dd,B,Fs,G,21x30,klein,breit,Gi,,Gs,F,St,,,Fst,H3,gr,ParPC,,Früchtestillleben (frei nach Paul Cézanne),iBdK,res,,,,0033,images/WV_ab 0001/0033_2011_M_A4_F_PPC_H3.jpg,images/WV_ab 0001/thumb/0033_2011_M_A4_F_PPC_H3.jpg,Mt Dd B Fs G,F St  ,Gi 
