Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Grösse,Ausrichtung,Darstellungsform,Darstellungsform I,Gegenständlich/Ungegenständlich,Motiv I,Motiv II,Motiv III,Motiv IV,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Status,Zus'arbeit,Bildqualität,Bemerkungen,Nummer,path,thumb,Techniken,Motiven,Darstellungsformen
0866,2013,G,,,,,39x49,mittel,breit,,,Gs,L,P,,,WG29,H3,g,ParFV,,"La Grève blanche, Vasouy (d‘après Félix Vallotton)",iBdK,,,,,0866,images/WV_ab 0821/0866.jpg,images/WV_ab 0821/thumb/0866.jpg,G    ,L P  , 
0867,2014,G,,,,,39x49,mittel,breit,,,Gs,L,,,,WG29,H3,g,ParFV,,Bretonische Heidelandschaft (nach Félix Vallotton),iBdK,,,,,0867,images/WV_ab 0821/0867.jpg,images/WV_ab 0821/thumb/0867.jpg,G    ,L   , 
0868,2014,G,,,,,39x49,mittel,breit,,,Gs,L,mF,,,WG29,H3,cf,ParFV,,"Marée montante, Houlgate (d‘après Félix Vallotton)",iBdK,,,,,0868,images/WV_ab 0821/0868.jpg,images/WV_ab 0821/thumb/0868.jpg,G    ,L mF  , 
0869,2014,G,,,,,39x49,mittel,breit,,,Gs,L ,Ar,,,WG29,H3,g,ParFV,,Cagnes am Abend (nach Félix Vallotton),iBdK,,,,,0869,images/WV_ab 0821/0869.jpg,images/WV_ab 0821/thumb/0869.jpg,G    ,L  Ar  , 
0870,2014,G,,,,,39x49,mittel,breit,,,Gs,L,Ar,,,WG29,H3,cf,ParFV,,Une rue à Cagnes (d‘après Félix Vallotton),iBdK,,,,,0870,images/WV_ab 0821/0870.jpg,images/WV_ab 0821/thumb/0870.jpg,G    ,L Ar  , 
0871,2014,G,,,,,39x49,mittel,breit,,,Gs,L,Ar,,,WG29,H3,cf,ParFV,,Le vieil Hôpital d'Honfleur (d‘après Félix Vallotton),iBdK,,,,,0871,images/WV_ab 0821/0871.jpg,images/WV_ab 0821/thumb/0871.jpg,G    ,L Ar  , 
0872,2013,G,,,,,39x49,mittel,breit,,,Gs,O,Ar,,,WG29,H4,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0872,images/WV_ab 0821/0872.jpg,images/WV_ab 0821/thumb/0872.jpg,G    ,O Ar  , 
0873,2013,G,,,,,40x51,mittel,breit,,,U,bb,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0873,images/WV_ab 0821/0873.jpg,images/WV_ab 0821/thumb/0873.jpg,G    ,bb   , 
0874,2013,G,,,,,40x51,mittel,breit,,,U,Lst,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0874,images/WV_ab 0821/0874.jpg,images/WV_ab 0821/thumb/0874.jpg,G    ,Lst   , 
0875,2013,G,,,,,40x51,mittel,breit,,,U,Ar,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0875,images/WV_ab 0821/0875.jpg,images/WV_ab 0821/thumb/0875.jpg,G    ,Ar   , 
0876,2013,G,,,,,40x51,mittel,breit,,,U,Sch,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0876,images/WV_ab 0821/0876.jpg,images/WV_ab 0821/thumb/0876.jpg,G    ,Sch   , 
0877,2015,G,,,,,40x51,mittel,breit,,,U,,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0877,images/WV_ab 0821/0877.jpg,images/WV_ab 0821/thumb/0877.jpg,G    ,   , 
0878,2014,G,,,,,40x51,mittel,breit,,,U,,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0878,images/WV_ab 0821/0878.jpg,images/WV_ab 0821/thumb/0878.jpg,G    ,   , 
0879,2014,G,,,,,40x51,mittel,breit,Lst,,UnG,O,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0879,images/WV_ab 0821/0879.jpg,images/WV_ab 0821/thumb/0879.jpg,G    ,O   ,Lst 
0880,2013,G,,,,,40x51,mittel,breit,Lst,,UnG,P,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0880,images/WV_ab 0821/0880.jpg,images/WV_ab 0821/thumb/0880.jpg,G    ,P   ,Lst 
0881,2013,G,,,,,40x54,mittel,breit,,,Gs,Ar,O,,,WG10,H4,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0881,images/WV_ab 0821/0881.jpg,images/WV_ab 0821/thumb/0881.jpg,G    ,Ar O  , 
0882,2013?,G,,,,,40x51,mittel,breit,,,Gs,O,,,,WG10,H2,m,ParFV,,La chambre rouge (d'après Félix Vallotton),"Benz Schär, Bern",PB,,,,0882,images/WV_ab 0821/0882.jpg,images/WV_ab 0821/thumb/0882.jpg,G    ,O   , 
0883,2013,G,,,,,40x54,mittel,breit,,,Gs,Ar,O,,,WG10,H4,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0883,images/WV_ab 0821/0883.jpg,images/WV_ab 0821/thumb/0883.jpg,G    ,Ar O  , 
0884,2014,G,,,,,40x51,mittel,breit,,,U,,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0884,images/WV_ab 0821/0884.jpg,images/WV_ab 0821/thumb/0884.jpg,G    ,   , 
0885,2013,G,,,,,40x51,mittel,breit,,,U,,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0885,images/WV_ab 0821/0885.jpg,images/WV_ab 0821/thumb/0885.jpg,G    ,   , 
0886,2013,G,,,,,49x49,mittel,quadratisch,Lst,,UnG,O,P,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),iBdK,,,,,0886,images/WV_ab 0821/0886.jpg,images/WV_ab 0821/thumb/0886.jpg,G    ,O P  ,Lst 
0887,2012,Ac,,,,,42x56,mittel,breit,,,UoG,F,St,O,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0887,images/WV_ab 0821/0887.jpg,images/WV_ab 0821/thumb/0887.jpg,Ac    ,F St O , 
0888,2013,Ac,,,,,42x56,mittel,breit,,,U,,,,,WG9,H5,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0888,images/WV_ab 0821/0888.jpg,images/WV_ab 0821/thumb/0888.jpg,Ac    ,   , 
0889,2013,Ac,,,,,42x56,mittel,breit,Lst,,U,,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0889,images/WV_ab 0821/0889.jpg,images/WV_ab 0821/thumb/0889.jpg,Ac    ,   ,Lst 
0890,2013,Ac,,,,,42x56,mittel,breit,,,U,,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0890,images/WV_ab 0821/0890.jpg,images/WV_ab 0821/thumb/0890.jpg,Ac    ,   , 
0891,2013,Ac,,,,,42x56,mittel,breit,Gi,,UoG,F,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0891,images/WV_ab 0821/0891.jpg,images/WV_ab 0821/thumb/0891.jpg,Ac    ,F   ,Gi 
0892,2013,Ac,,,,,42x56,mittel,breit,,,Gs,F,St,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0892,images/WV_ab 0821/0892.jpg,images/WV_ab 0821/thumb/0892.jpg,Ac    ,F St  , 
0893,2014,Ac,,,,,42x56,mittel,breit,,,U,Sch,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0893,images/WV_ab 0821/0893.jpg,images/WV_ab 0821/thumb/0893.jpg,Ac    ,Sch   , 
0894,2013,Ac,,,,,42x56,mittel,breit,Ul,,Gs,F,St,O,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0894,images/WV_ab 0821/0894.jpg,images/WV_ab 0821/thumb/0894.jpg,Ac    ,F St O ,Ul 
0895,2013,Ac,,,,,42x56,mittel,breit,,,U,,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0895,images/WV_ab 0821/0895.jpg,images/WV_ab 0821/thumb/0895.jpg,Ac    ,   , 
0896,2013,Ac,,,,,42x56,mittel,breit,,,Gs,F,St,O,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0896,images/WV_ab 0821/0896.jpg,images/WV_ab 0821/thumb/0896.jpg,Ac    ,F St O , 
0897,2013,Ac,,,,,42x56,mittel,breit,,,U,,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0897,images/WV_ab 0821/0897.jpg,images/WV_ab 0821/thumb/0897.jpg,Ac    ,   , 
0898,2013,Ac,,,,,42x56,mittel,breit,,,Gs,Ti,St,,,WG9,H4,gr,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),iBdK,,,,,0898,images/WV_ab 0821/0898.jpg,images/WV_ab 0821/thumb/0898.jpg,Ac    ,Ti St  , 
0899,2015,G,,,,,32x43?,mittel,breit,,,UnG,O,,,,WG15,H5,g,ParFV,,Le mensonge (d'après Félix Vallotton),"Eva Inversini, Bern",PB,,,,0899,images/WV_ab 0821/0899.jpg,images/WV_ab 0821/thumb/0899.jpg,G    ,O   , 
0900,2008,zT,B,T,,,21x24,klein,breit,Lwi,,UnG,A,,,,,H2,gr,ParCom,sko,La Musa di Comensoli,iBdK,,,,,0900,"images/WV_ab 0900/0900,a2008,B,T,q21x24,A,H2,gr,sko.jpg","images/WV_ab 0900/thumb/0900,a2008,B,T,q21x24,A,H2,gr,sko.jpg",zT B T  ,A   ,Lwi 
0901,2012,G,,,,,22x15,klein,hoch,,,UnG,L,Tie,,,WG38,H4,cf,ParFV,was,Mimosas en fleurs à Cagnes (d'après Félix Vallotton),iBdK,,,,,0901,images/WV_ab 0900/0901.jpg,images/WV_ab 0900/thumb/0901.jpg,G    ,L Tie  , 
0902,2012,G,,,,,21x30,klein,breit,,,UnG,L,mF,O,,WG38,H3,v,ParFV,sko,Des sables au bord de la Loire (d'après Félix Vallotton),iBdK,,,,,0902,images/WV_ab 0900/0902.jpg,images/WV_ab 0900/thumb/0902.jpg,G    ,L mF O , 
0903,2012,G,,,,,21x30,klein,breit,,,UnG,O,,,,WG38,H3,cf,ParFV,,Des sables au bord de la Loire (d'après Félix Vallotton),iBdK,,,,,0903,images/WV_ab 0900/0903.jpg,images/WV_ab 0900/thumb/0903.jpg,G    ,O   , 
0904,2011,OL,,,,,50x60,mittel,breit,Mo,,UnG,F,St,O,,WG1,H4,cf,ParFV,,"Paraphrase zu Félix Vallottons ""Rote Pfefferfrüchte auf rundem, weisslackiertem Tisch""",iBdK,res,,,,0904,images/WV_ab 0900/0904.jpg,images/WV_ab 0900/thumb/0904.jpg,OL    ,F St O ,Mo 
0905,2011,OL,,,,,50x60,mittel,breit,Mo,,UnG,F,St,,,WG1,H3,cf,ParFV,,"Paraphrase zu Félix Vallottons ""Stillleben: Äpfel, Birnen, Tomaten, Eier ...""",iBdK,,,,,0905,images/WV_ab 0900/0905.jpg,images/WV_ab 0900/thumb/0905.jpg,OL    ,F St  ,Mo 
0906,2014,OL,,,,,30x40,mittel,breit,Mo,,UnG,F,Sch,O,,WG1,H3,cf,ParFV,,Rote Pfefferfrüchte (nach Félix Vallotton),iBdK,,,,,0906,images/WV_ab 0900/0906.jpg,images/WV_ab 0900/thumb/0906.jpg,OL    ,F Sch O ,Mo 
0907,2008,OP,,,,,67x89,mittel,breit,Mo,,UnG,L,Ar,,,WG1,H4,g,ParFV,,"nach ""Château Gaillard"" von Félix Vallotton",iBdK,,,,Kat.OP.599,0907,images/WV_ab 0900/0907.jpg,images/WV_ab 0900/thumb/0907.jpg,OP    ,L Ar  ,Mo 
0908,,,,,,,,,,,,,,,,,,,,,,,,,,,,0908,images/WV_ab 0900/0908.jpg,images/WV_ab 0900/thumb/0908.jpg,    ,   , 
0909,2010,OP,,,,,67x89,mittel,breit,Mo,,UnG,AX,,,,WG1,H2,cf,ParFV,,Andromède enchaînée (d'après Félix Vallotton),iBdK,,,,Kat.OP.350,0909,images/WV_ab 0900/0909.jpg,images/WV_ab 0900/thumb/0909.jpg,OP    ,AX   ,Mo 
0910,2009,OP,,,,,67x89,mittel,breit,Mo,,UnG,L,mF,Pf,O,WG1,H3,g,ParFV,,"""Des sables au bord de la Loire"" (d'après Félix Vallotton)",iBdK,,,,Kat.OP.623,0910,images/WV_ab 0900/0910.jpg,images/WV_ab 0900/thumb/0910.jpg,OP    ,L mF Pf O,Mo 
0911,2009,OP,,,,,67x89,mittel,breit,Mo,,UnG,L,Pf,,,WG1,H3,cf,ParFV,,"""La Loire à Nevers"" (d'après Félix Vallotton)",iBdK,res,,,Kat.OP.624,0911,images/WV_ab 0900/0911.jpg,images/WV_ab 0900/thumb/0911.jpg,OP    ,L Pf  ,Mo 
0912,2014,OL,,,,,60x50,mittel,hoch,,,Gs,AX,Sch,Ba,,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,,0912,images/WV_ab 0900/0912.jpg,images/WV_ab 0900/thumb/0912.jpg,OL    ,AX Sch Ba , 
0913,2014,OL,,,,,60x50,mittel,hoch,,,Gs,AX,Sch,Ba,,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,,0913,images/WV_ab 0900/0913.jpg,images/WV_ab 0900/thumb/0913.jpg,OL    ,AX Sch Ba , 
0914,2014,OL,,,,,60x50,mittel,hoch,,,Gs,AX,Sch,Ba,,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,,0914,images/WV_ab 0900/0914.jpg,images/WV_ab 0900/thumb/0914.jpg,OL    ,AX Sch Ba , 
0915,2014,OL,,,,,60x50,mittel,hoch,,,Gs,AX,Sch,Ba,,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,,0915,images/WV_ab 0900/0915.jpg,images/WV_ab 0900/thumb/0915.jpg,OL    ,AX Sch Ba , 
0916,2009,OL,,,,,75x90,mittel,breit,,,UnG,AX,P,L,,WG21,H3,cf,ParFV,,Herrin und Dienerin (nach Félix Vallotton),iBdK,,,,,0916,images/WV_ab 0900/0916.jpg,images/WV_ab 0900/thumb/0916.jpg,OL    ,AX P L , 
0917,2014,zT,T,C,,,46x33,mittel,hoch,,,Gs,AX,Ba,,,WG16,H3,bw,ParFV,,Badende (nach Félix Vallotton),iBdK,,,,,0917,images/WV_ab 0900/0917.jpg,images/WV_ab 0900/thumb/0917.jpg,zT T C  ,AX Ba  , 
0918,2014,OP,,,,,67x89,mittel,breit,Lst,,U,,,,,WG33,H4,cf,ParFV,,Le rayon de soleil (d'après Félix Vallotton,iBdK,,,,Kat.OP.656,0918,images/WV_ab 0900/0918.jpg,images/WV_ab 0900/thumb/0918.jpg,OP    ,   ,Lst 
0919,2013,OP,,,,,40x32,mittel,hoch,Lst,,U,,,,,WG33,H4,cf,ParFV,,"Coin de port le soir, Honfleur (d'après Félix Vallotton)",iBdK,,,,Kat.OP.655,0919,images/WV_ab 0900/0919.jpg,images/WV_ab 0900/thumb/0919.jpg,OP    ,   ,Lst 
0920,2013,OP,,,,,41x55,mittel,breit,Ul,,U,,,,,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),iBdK,,,,Kat.OP.657,0920,images/WV_ab 0900/0920.jpg,images/WV_ab 0900/thumb/0920.jpg,OP    ,   ,Ul 
0921,2013,OP,,,,,41x67,mittel,breit,,,U,,,,,WG33,H3,cf,ParFV,,"Coucher de soleil, Villerville (d'après Félix Vallotton)",iBdK,,,,Kat.OP.654,0921,images/WV_ab 0900/0921.jpg,images/WV_ab 0900/thumb/0921.jpg,OP    ,   , 
0922,2015,OL,,,,,53x40,mittel,hoch,,,U,,,,,WG33,H3,cf,ParFV,,"Weisser Strand, Vasouy (nach Félix Vallotton)",iBdK,,,,,0922,images/WV_ab 0900/0922.jpg,images/WV_ab 0900/thumb/0922.jpg,OL    ,   , 
0923,2014,OL,,,,,56x40,mittel,hoch,Lst,,U,,,,,WG33,H4,g,ParFV,,Le château Gaillard (d'après Félix Vallotton),iBdK,,,,,0923,images/WV_ab 0900/0923.jpg,images/WV_ab 0900/thumb/0923.jpg,OL    ,   ,Lst 
0924,2015,OL,,,,,50x70,mittel,breit,Lst,,U,,,,,WG33,H3,b,ParFV,,"Das Bad, Sommerabend (nach Félix Vallotton)",iBdK,,,,,0924,images/WV_ab 0900/0924 K.jpg,images/WV_ab 0900/thumb/0924 K.jpg,OL    ,   ,Lst 
0925,2014,OL,,,,,30x30,mittel,quadratisch,Lst,,U,,,,,WG33,H4,cf,ParFV,,La Dordogne à Beynac (d'après Félix Vallotton),iBdK,,,,,0925,images/WV_ab 0900/0925.jpg,images/WV_ab 0900/thumb/0925.jpg,OL    ,   ,Lst 
0926,2014,OL,,,,,30x30,mittel,quadratisch,Ul,,U,,,,,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),iBdK,,,,,0926,images/WV_ab 0900/0926.jpg,images/WV_ab 0900/thumb/0926.jpg,OL    ,   ,Ul 
0927,2013,OL,,,,,59x83,mittel,breit,Ul,Lst,U,,,,,WG33,H3,cf,ParFV,,Les mouettes (d'après Félix Vallotton),iBdK,,,,,0927,images/WV_ab 0900/0927.jpg,images/WV_ab 0900/thumb/0927.jpg,OL    ,   ,Ul Lst
0928,2014,OL,,,,,65x82,mittel,breit,Lst,,U,,,,,WG33,H3,cf,ParFV,,Die Place Clichy in Paris (nach Félix Vallotton),iBdK,,,,,0928,images/WV_ab 0900/0928.jpg,images/WV_ab 0900/thumb/0928.jpg,OL    ,   ,Lst 
0929,2014,OL,,,,,65x82,mittel,breit,Lst,,U,,,,,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),iBdK,,,,,0929,images/WV_ab 0900/0929.jpg,images/WV_ab 0900/thumb/0929.jpg,OL    ,   ,Lst 
0930,2012,G,,,,,35x40,mittel,breit,,,Gs,F,St,O,,WG38,H4,cf,ParFV,,"""Cinq gros piments rouges sur une table laquée blanc"" (d'après Félix Vallotton)",iBdK,,,,,0930,images/WV_ab 0900/0930.jpg,images/WV_ab 0900/thumb/0930.jpg,G    ,F St O , 
0931,2013,OP,,,,,67x89,mittel,breit,Lst,,UnG,L,Pf,,,WG22,H2,cf,ParFV,,"Digue de Honfleur, soleil couchant (d'après Félix Vallotton)",iBdK,,,,Kat.OP.326,0931,images/WV_ab 0900/0931.jpg,images/WV_ab 0900/thumb/0931.jpg,OP    ,L Pf  ,Lst 
0932,2013,OP,,,,,67x89,mittel,breit,,,UnG,AX,P,,,WG22,H4,cf,ParFV,,La haine (d'après Félix Vallotton),iBdK,,,,Kat.OP.284,0932,images/WV_ab 0900/0932.jpg,images/WV_ab 0900/thumb/0932.jpg,OP    ,AX P  , 
0933,2013,OP,,,,,67x89,mittel,breit,Lst,,UnG,AX,,,,WG22,H4,g,ParFV,,Femme nue couchée dormant (d'après Félix Vallotton),iBdK,,,,Kat.OP.302,0933,images/WV_ab 0900/0933.jpg,images/WV_ab 0900/thumb/0933.jpg,OP    ,AX   ,Lst 
0934,2014?,G,,,,,36x49?,mittel,breit,,,UnG,O,mF,,,WG15,H4,cf,ParFV,,Le 1er janvier (d‘après Félix Vallotton) ,iBdK,,,,,0934,images/WV_ab 0934/0934_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0934_bearbeitet-1.jpg,G    ,O mF  , 
0935,1983,T,,,,,21x19?,klein,hoch,,,Gs,St,Pf,O,Ec,,H3,gr,,,Composición agrotropical,iBdK,,,,,0935,images/WV_ab 0934/0935.jpg,images/WV_ab 0934/thumb/0935.jpg,T    ,St Pf O Ec, 
0936,1973,OL,,,,,18x18,klein,quadratisch,,,U,,,,,,H3,b,,,,iBdK,,,,,0936,images/WV_ab 0934/0936_bearbeitet-2.jpg,images/WV_ab 0934/thumb/0936_bearbeitet-2.jpg,OL    ,   , 
0937,1973,zT,Opl,T,,,20x15,klein,hoch,,,Gs,FigG,FigG,,,,H4,bw,,,,iBdK,,,,,0937,images/WV_ab 0934/0937_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0937_bearbeitet-1.jpg,zT Opl T  ,FigG FigG  , 
0938,1973,zT,B,Fs,,,16x22,klein,breit,,,Gs,Tie,,,,,H2,b,,,FISCH MIT WICHTIGER BOTSCHAFT,iBdK,,,,,0938,images/WV_ab 0934/0938_bearbeitet-2.jpg,images/WV_ab 0934/thumb/0938_bearbeitet-2.jpg,zT B Fs  ,Tie   , 
0939,1973,zT,Opl,T,,,24x27,mittel,breit,,,U,,,,,,H3,bw,,,,iBdK,,,,,0939,images/WV_ab 0934/0939_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0939_bearbeitet-1.jpg,zT Opl T  ,   , 
0940,1973,zT,Opl,T,,,25x30,mittel,breit,,,U,,,,,,H4,bw,,ste,,iBdK,,,,,0940,images/WV_ab 0934/0940_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0940_bearbeitet-1.jpg,zT Opl T  ,   , 
0941,1975,Mt,OP,B,T ,,22x20,klein,hoch,,,Gs,A,FigG,,,,H3,gr,,waa,,iBdK,,,,,0941,images/WV_ab 0934/0941_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0941_bearbeitet-1.jpg,Mt OP B T  ,A FigG  , 
0942,1980,G,,,,,18x19,klein,breit,,,Gs,mF,O,bb,FigR,,H3,cf,,,,iBdK,,,,,0942,images/WV_ab 0934/0942.jpg,images/WV_ab 0934/thumb/0942.jpg,G    ,mF O bb FigR, 
0943,1981,zT,G,R,,,20x24,klein,hoch,,,Gs,AX,P,FigR,BiB,,H4,v,Par5,,Triton und Nereïde,iBdK,,,,,0943,images/WV_ab 0934/0943_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0943_bearbeitet-1.jpg,zT G R  ,AX P FigR BiB, 
0944,1981,Mt,R,OPa,G,,27x31,mittel,breit,,,Gs,A,lL,FigR,At,,H4,cf,,sko,,iBdK,,,,,0944,images/WV_ab 0934/0944_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0944_bearbeitet-1.jpg,Mt R OPa G ,A lL FigR At, 
0945,1981,G,,,,,31x39,mittel,breit,,,Gs,A,,,,,H2,cf,,,,iBdK,,,,,0945,images/WV_ab 0934/0945_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0945_bearbeitet-1.jpg,G    ,A   , 
0946,1981,zT,G,Fa,,,22x25,klein,breit,,,Gs,Ri,O,FigR,,,H3,cf,,,,iBdK,,,,,0946,images/WV_ab 0934/0946.jpg,images/WV_ab 0934/thumb/0946.jpg,zT G Fa  ,Ri O FigR , 
0947,1981,zT,G,Fa,,,22x25,klein,breit,,,Gs,Ri,FigR,Sch,,,H4,v,,,,iBdK,,,,,0947,images/WV_ab 0934/0947_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0947_bearbeitet-1.jpg,zT G Fa  ,Ri FigR Sch , 
0948,1981,zT,G,Fa,,,22x25,klein,breit,,,Gs,mF,O,FigR,Pf,,H3,cf,,,,iBdK,,,,,0948,images/WV_ab 0934/0948.jpg,images/WV_ab 0934/thumb/0948.jpg,zT G Fa  ,mF O FigR Pf, 
0949,1981,zT,G,Fa,,,22x25,klein,breit,,,Gs,mF,O,Ri,,,H3,cf,,,,iBdK,,,,,0949,images/WV_ab 0934/0949.jpg,images/WV_ab 0934/thumb/0949.jpg,zT G Fa  ,mF O Ri , 
0950,1983,G,,,,,20x22,klein,breit,,,Gs,St,O,Pf,,,H3,cf,,,,iBdK,,,,,0950,images/WV_ab 0934/0950_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0950_bearbeitet-1.jpg,G    ,St O Pf , 
0951,1983,G,,,,,25x28,klein,breit,,,Gs,A,So,,,,H2,cf,,,,iBdK,,,,,0951,images/WV_ab 0934/0951.jpg,images/WV_ab 0934/thumb/0951.jpg,G    ,A So  , 
0952,1984,G,,,,,25x19,klein,hoch,,,Gs,A,,,,,H3,cf,,,,iBdK,,,,,0952,images/WV_ab 0934/0952_bearbeitet-1.jpg,images/WV_ab 0934/thumb/0952_bearbeitet-1.jpg,G    ,A   , 
0953,1982,Mt,T,B,G,,25x30,mittel,breit,,,Gs,mF,O,FigR,,,H4,gr,,,,iBdK,,,,,0953,images/WV_ab 0953/0953_bearbeitet-2.jpg,images/WV_ab 0953/thumb/0953_bearbeitet-2.jpg,Mt T B G ,mF O FigR , 
0954,1983,Mt,B,Dp,Bz,,20x22,klein,breit,,,Gs,A,FigR,,,,H3,gr,,,,iBdK,,,,,0954,images/WV_ab 0953/0954_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0954_bearbeitet-1.jpg,Mt B Dp Bz ,A FigR  , 
0955,1983,zT,B,Dp,,,25x30,mittel,breit,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,0955,images/WV_ab 0953/0955_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0955_bearbeitet-1.jpg,zT B Dp  ,A   , 
0956,1980,Mt,B,G,T ,Kh,32x30,mittel,hoch,,,Gs,sB,,,,,H2,gr,,,,iBdK,,,,,0956,images/WV_ab 0953/0956_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0956_bearbeitet-1.jpg,Mt B G T  Kh,sB   , 
0957,1981,B,,,,,25x27,mittel,breit,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,0957,images/WV_ab 0953/0957_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0957_bearbeitet-1.jpg,B    ,A   , 
0958,1983,zT,B,Dp,,,28x36,mittel,breit,,,Gs,A,O,,,,H1,gr,,,,iBdK,,,,,0958,images/WV_ab 0953/0958_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0958_bearbeitet-1.jpg,zT B Dp  ,A O  , 
0959,1982,zT,B,Dp,,,41x36,mittel,hoch,,,Gs,A,,,,,H2,gr,,,,iBdK,,,,,0959,images/WV_ab 0953/0959_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0959_bearbeitet-1.jpg,zT B Dp  ,A   , 
0960,1983,zT,B,Dp,,,31x25,mittel,hoch,,,Gs,O,Ec,,,,H4,gr,,,,iBdK,,,,,0960,images/WV_ab 0953/0960_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0960_bearbeitet-1.jpg,zT B Dp  ,O Ec  , 
0961,1983,Mt,B,Dp,R,,44x37,mittel,hoch,,,Gs,Ti,bb,O,Ec,,H2,gr,,,la raya que dividió al mundo,iBdK,,,,,0961,images/WV_ab 0953/0961_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0961_bearbeitet-1.jpg,Mt B Dp R ,Ti bb O Ec, 
0962,1982,zT,B,Dp,,,29x35,mittel,breit,,,Gs,A,bb,O,FigR,,H3,gr,,,,iBdK,,,,,0962,images/WV_ab 0953/0962_bearbeitet-1.jpg,images/WV_ab 0953/thumb/0962_bearbeitet-1.jpg,zT B Dp  ,A bb O FigR, 
