Nummer,Jahr,Technik,Technik I,Technik II,Technik III,Technik IV,Format,Ausrichtung,Darstellungsformen,Darstellungsformen,Gegenständlich/Ungegenständlich,Motiv,Motiv,Motiv,Motiv,Serie,Helligkeit,Farbigkeit,Paraphrasen,Bildsprache,Titel,Standort,Zus'arbeit,Bildqualität,Bemerkungen,Nummer
0753,a1984,Mt,B,Dp,R,,29x36,breit,,,Gs,A,,,,,H1,gr,,,,,,,,0753
0754,a1984,Mt,B,Dp,R,,17x23,breit,,,Gs,A,,,,,H2,gr,,,,,,,,0754
0755,a1984,Mt,B,Dp,R,,23x22,hoch,,,Gs,A,,,,,H2,gr,,,,,,,,0755
0756,a1984,Mt,B,Dp,R,,48x43,hoch,,,Gs,A,lL,,,,H3,gr,,sko,,,,,,0756
0757,a1984,Mt,B,Dp,R,,47x36,hoch,,,Gs,A,bb,,,,H2,gr,,,,,,,,0757
0758,a1984,Mt,B,Dp,R,,42x55,breit,,,Gs,A,,,,,H1,gr,,,,,,,,0758
0759,a1984,Mt,B,Dp,R,,48x39,hoch,,,Gs,A,,,,,H2,gr,,,,,,,,0759
0760,a1984,Mt,B,Dp,R,,27x35,breit,,,Gs,A,,,,,H4,gr,,sko,,,,,,0760
0761,a1984,Mt,B,Dp,R,,35x48,breit,,,Gs,A,,,,,H1,gr,,sko,,,,,,0761
0762,a1984,Mt,B,Dp,R,,43x53,breit,,,Gs,A,P,,,,H1,bw,,sko,,,,,,0762
0763,a1985,Mt,B,Dp,R,,16x20,breit,,,Gs,A,,,,,H2,bw,,,,,,,,0763
0764,a2015,T,,,,,25x42,breit,,,Gs,A,P,,,,H2,bw,,,,,,,,0764
0765,a2015,T,,,,,21x38,breit,,,Gs,A,,,,,H4,bw,,,,,,,,0765
0766,a2015,T,,,,,31x42,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0766
0767,a2015,T,,,,,21x34,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0767
0768,a2015,T,,,,,31x39,breit,,,Gs,A,,,,,H4,bw,,,,,,,,0768
0769,a2015,T,,,,,33x42,breit,,,Gs,A,P,,,,H5,bw,,,,,,,,0769
0770,a2015,T,,,,,32x38,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0770
0771,a2015,T,,,,,31x37,breit,,,Gs,A,,,,,H4,bw,,,,,,,,0771
0772,a2015,T,,,,,27x27,quadratisch,,,Gs,A,,,,,H2,bw,,,,,,,,0772
0773,a2015,T,,,,,21x38,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0773
0774,a2015,T,,,,,31x41,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0774
0775,a2015,T,,,,,42x47,breit,,,Gs,A,P,,,,H4,bw,,,,,,,,0775
0776,a2015,T,,,,,42x50,breit,,,Gs,A,P,,,,H3,bw,,,,,,,,0776
0777,a2015,T,,,,,42x63,breit,,,Gs,A,P,,,,H3,bw,,,,,,,,0777
0778,a2015,T,,,,,42x63,breit,,,Gs,A,P,,,,H3,bw,,,,,,,,0778
0779,a2015,T,,,,,42x63,breit,,,Gs,A,P,,,,H3,bw,,,,,,,,0779
0780,a2015,T,,,,,42x63,breit,,,Gs,A,P,,,,H2,bw,,,,,,,,0780
0781,a2015,T,,,,,42x63,breit,,,Gs,A,P,,,,H4,bw,,,,,,,,0781
0782,a2015,T,,,,,42x57,breit,,,Gs,A,,,,,H4,bw,,,,,,,,0782
0783,a2015,T,,,,,26x42,breit,,,Gs,A,,,,,H4,bw,,,,,,,,0783
0784,a2015,T,,,,,32x38,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0784
0785,a2015,T,,,,,42x57,breit,,,Gs,A,,,,,H4,bw,,,,,,,,0785
0786,a2015,T,,,,,42x57,breit,,,Gs,A,,,,,H4,bw,,,,,,,,0786
0787,a1999,T,,,,,36x53,breit,,,Gs,A,,,,,H5,bw,,,,,,,,0787
0788,a1999,T,,,,,39x52,breit,,,Gs,A,,,,,H2,bw,,,,,,,,0788
0789,a1999,T,,,,,33x45,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0789
0790,a1999,T,,,,,29x45,breit,,,Gs,A,,,,,H5,bw,,,,,,,,0790
0791,a1999,T,,,,,28x38,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0791
0792,a1999,T,,,,,30x48,breit,,,Gs,A,,,,,H4,bw,,,Körperlandschaft,,,,,0792
0793,a1999,T,,,,,34x48,breit,,,Gs,A,,,,,H4,bw,,,,,,,,0793
0794,a1999,T,,,,,34x37,breit,,,Gs,A,,,,,H3,bw,,,,,,,,0794
0795,a2013,G,,,,,21x27,breit,,,Gs,L,,,,WG4,H4,cf,ParFV,,Landschaftskomposition (nach Félix Vallotton),,,,,0795
0796,a2013,G,,,,,35x28,hoch,,,Gs,L,,,,WG4,H3,g,ParFV,,"nach ""Château Gaillard"" von Félix Vallotton",,,,,0796
0797,a2014,G,,,,,26x33,breit,,,Gs,L,,,,WG4,H3,cf,ParFV,,Paysage à Loguivy (d'après Félix Vallotton),,,,,0797
0798,a2012,G,,,,,24x16?,hoch,,,Gs,L,,,,WG4,H4,g,ParFV,,"La Grève blanche, Vasouy (d‘après Félix Vallotton)",,,,,0798
0799,a2014,G,,,,,18x22?,breit,,,Gs,L,,,,WG4,H4,cf,ParFV,,Les feux (d'après Félix Vallotton),,,,,0799
0800,a2014,G,,,,,36x26,hoch,,,Gs,L,,,,WG4,H3,cf,ParFV,,Flut bei Houlgate (nach Félix Vallotton),,,,,0800
0801,a2013,G,,,,,23x31,breit,,,Gs,L,,,,WG4,H3,cf,ParFV,,Coucher de soleil blanc jaune (d'après Félix Vallotton),,,,,0801
0802,a2012,G,,,,,22x28?,breit,,,Gs,L,,,,WG4,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),,,,,0802
0803,a2012,G,,,,,18x27?,breit,,,Gs,L,,,,WG4,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),,,,,0803
0804,a2013?,G,,,,,16x23?,breit,,,Gs,L,,,,WG4,H3,g,ParFV,,Cagnes le Soir (d‘après Félix Vallotton),,,,,0804
0805,a2013,G,,,,,26x30,breit,,,Gs,L,,,,WG4,H3,g,ParFV,,La maison du coin (Honfleur) d'après Félix Vallotton,,,,,0805
0806,a2014?,G,,,,,22x16?,hoch,,,Gs,L,,,,WG4,H3,g,ParFV,,La Pluie (d‘après Félix Vallotton),,,,,0806
0807,a2012,G,,,,,24x36,breit,,,Gs,L,,,,WG4,H3,g,ParFV,,"Le Ponte Molle, Rome (d'après Félix Vallotton)",,,,,0807
0808,a2014,G,,,,,23x36?,breit,,,Gs,L,,,,WG4,H4,cf,ParFV,,Rade à Trégastel (d‘après Félix Vallotton),,,,,0808
0809,a2013,G,,,,,15x21?,breit,,,Gs,L,,,,WG4,H4,g,ParFV,,Teich bei Honfleur (nach Félix Vallotton),,,,,0809
0810,a2009,G,,,,,39x48,breit,,,Gs,L,,,,WG4,H3,g,ParFV,,Sandbänke am Ufer der Loire (nach Félix Vallotton),,,,,0810
0811,a2012,G,,,,,18x26?,breit,,,Gs,L,,,,WG4,H2,cf,ParFV,,Coin de grève (d‘après Félix Vallotton),,,,,0811
0812,a2012,G,,,,,32x24,hoch,,,Gs,L,,,,WG4,H4,g,ParFV,,"nach ""Dordogne"" (nach Félix Vallotton)",,,,,0812
0813,a2012,G,,,,,25x17,hoch,,,Gs,O,,,,WG4,H4,cf,ParFV,,Les barques (d'après Félix Vallotton),,,,,0813
0814,a2012,G,,,,,21x29,breit,,,Gs,Ar,L,,,WG4,H5,cf,ParFV,,Les volets clos (d‘après Félix Vallotton),,,,,0814
0815,a2012,G,,,,,26x20?,hoch,,,Gs,L,O,,,WG4,H3,g,ParFV,,La charrette (d‘après Félix Vallotton),,,,,0815
0816,a2012,G,,,,,18x23?,breit,,,Gs,AX,,,,WG4,H3,cf,ParFV,,Baigneuse couchée de dos (d‘après Félix Vallotton),,,,,0816
0817,a2012,G,,,,,33x25,hoch,,,Gs,AX,,,,WG4,H3,c,ParFV,,Baigneuse rousse assise sur un rocher (d'après Félix Vallotton),,,,,0817
0818,a2012,G,,,,,33x24,hoch,,,Gs,AX,,,,WG4,H4,b,ParFV,,Torse nu brun (d'après Félix Vallotton),,,,,0818
0819,a2015,G,,,,,26x33,breit,,,Gs,L,,,,WG4,H4,b,ParFV,,Le rayon de soleil (d‘après Félix Vallotton),,,,,0819
0820,a2013,G,,,,,27x34,breit,,,Gs,L,Ar,,,WG4,H4,cf,ParFV,,Paysage à Loguivy (d'après Félix Vallotton),,,,,0820
0821,a2013,G,,,,,32x48,breit,,,Gs,L,,,,WG11,H3,cf,ParFV,,Coucher de soleil blanc jaune (d'après Félix Vallotton),,,,,0821
0822,a2013,G,,,,,32x42,breit,,,Gs,L,,,,WG11,H3,cf,ParFV,,Coucher de soleil ciel jaune et vent (d'après Félix Vallotton),,,,,0822
0823,a2013,G,,,,,24x32,breit,,,Gs,L,,,,WG11,H3,cf,ParFV,,Coucher de soleil avec barque echouée (d'après Félix Vallotton),,,,,0823
0824,a2013,G,,,,,24x35,breit,,,Gs,L,,,,WG11,H3,cf,ParFV,,Environs de Lausanne (d'après Félix Vallotton),,,,,0824
0825,a2013,G,,,,,24x32,breit,,,Gs,L,,,,WG11,H3,cf,ParFV,,La Loire à Nevers (d'après Félix Vallotton),,,,,0825
0826,a2013,G,,,,,24x35,breit,,,Gs,L,,,,WG11,H4,cf,ParFV,,Coucher de soleil jaune et vert (d'après Félix Vallotton),,,,,0826
0827,a2014,G,,,,,52x62,breit,,,Gs,mF,,,,WG15,H3,c,ParFV,,Le 1er janvier (d'après Félix Vallotton),,,,,0827
0828,a2013,G,,,,,26x44,breit,,,Gs,mF,,,,WG15,H3,c,ParFV,,L'argent (d'après Félix Vallotton),,,,,0828
0829,a2013,G,,,,,28x35,breit,,,Gs,Ar,O,,,WG15,H3,g,ParFV,,La surprise (d'après Félix Vallotton),,,,,0829
0830,a2015,G,,,,,28x35,breit,,,Gs,mF,O,,,WG15,H4,cf,ParFV,,La raison probante (d'après Félix Vallotton),,,,,0830
0831,a2013,G,,,,,50x57?,breit,,,Gs,mF,,,,WG15,H3,c,ParFV,,Cinq heures (d'après Félix Vallotton),,,,,0831
0832,a2013,G,,,,,55x73?,breit,,,Gs,mF,O,,,WG15,H4,c,ParFV,,La symphonie (d'après Félix Vallotton),,,,,0832
0833,a2013,G,,,,,40x73?,breit,,,Gs,mF,O,,,WG15,H3,c,ParFV,,Le bibliophile (d'après Félix Vallotton),,,,,0833
0834,a2015,G,,,,,50x57?,breit,,,Gs,O,,,,WG15,H3,c,ParFV,,La belle épingle (d'après Félix Vallotton),,,,,0834
0835,a2013,G,,,,,55x73?,breit,,,Gs,mF,O,,,WG15,H3,cf,ParFV,,Le mensonge (d'après Félix Vallotton),,,,,0835
0836,a2012,G,,,,,29x37,breit,,,Gs,F,,,,WG6,H4,cf,ParFV,,"Stillleben: rote Pfefferfrüchte auf rundem, weisslackiertem Tisch (nach Félix Vallotton)",,,,,0836
0837,a2012,G,,,,,40x40,quadratisch,,,Gs,F,,,,WG6,H3,cf,ParFV,,Cinq gros piments rouges sur une table laqué blac (d'après Félix Vallotton),,,,,0837
0838,a2012,G,,,,,22x29?,breit,,,Gs,F,,,,WG6,H3,cf,ParFV,,"Stillleben: Äpfel, Birnen, Tomaten, Eier (nach Félix Vallotton)",,,,,0838
0839,a2013?,G,,,,,33x34?,breit,,,Gs,F,,,,WG6,H3,cf,ParFV,,"Stillleben: Äpfel, Birnen, Tomaten, Eier (nach Félix Vallotton)",,,,,0839
0840,a2013?,G,,,,,22x28?,breit,,,Gs,F,,,,WG6,H3,cf,ParFV,,"Stillleben: Äpfel, Birnen, Tomaten, Eier (nach Félix Vallotton)",,,,,0840
0841,a2015,G,,,,,38x28,hoch,,,Gs,mF,,,,WG6,H3,cf,ParFV,,Strand (nach Félix Vallotton),,,,,0841
0842,a2013,C,Ac,,,,30x42,breit,,,Gs,mF,P,,,WG19,H4,gr,ParFV,,Homme et Femme (d'après Félix Vallotton),,,,,0842
0843,a2013,C,Ac,,,,42x30,hoch,,,Gs,mF,P,,,WG19,H4,gr,ParFV,,La haine (d'après Félix Vallotton),,,,,0843
0844,a2013,C,Ac,,,,42x30,hoch,,,Gs,mF,,,,WG19,H4,gr,ParFV,,Orphée dépecé (d'après Félix Vallotton),,,,,0844
0845,a2013,C,Ac,,,,24x35?,breit,,,Gs,mF,P,Tie,,WG19,H3,gr,ParFV,,Persée tuant le dragon (d'après Félix Vallotton),,,,,0845
0846,a2014,zT,B,G,,,12x17,breit,,,Gs,mF,P,,,WG31,H5,bw,ParFV,,La visite (d'après Félix Vallotton),,,,,0846
0847,a2014,zT,B,G,,,11x16,breit,,,Gs,mF,,,,WG31,H5,bw,ParFV,,Cinq heures (d'après Félix Vallotton),,,,,0847
0848,a2014,zT,B,G,,,12x18,breit,,,Gs,mF,P,,,WG 31,H5,bw,ParFV,,Le Colloque sentimental (d'après Félix Vallotton),,,,,0848
0849,a2014,zT,B,G,,,12x16,breit,,,Gs,mF,P,,,WG 31,H5,bw,ParFV,,La Chambre rouge (d'après Félix Vallotton),,,,,0849
0850,a2014,zT,B,G,,,11x17,breit,,,Gs,mF,,,,WG 31,H5,bw,ParFV,,"Le dîner, effet de lampe (d'après Félix Vallotton)",,,,,0850
0851,a2014,zT,B,G,,,11x13,breit,,,Gs,mF,P,,,WG 31,H5,bw,ParFV,,Intérieur fauteuil rouge et figures (d'après Félix Vallotton),,,,,0851
0852,a2014,zT,B,G,,,12x18,breit,,,Gs,mF,,,,WG 31,H5,bw,ParFV,,L'Attente (d'après Félix Vallotton),,,,,0852
0853,a2014,zT,B,G,,,11x18,breit,,,Gs,mF,P,,,WG 31,H5,bw,ParFV,,La visite (d'après Félix Vallotton),,,,,0853
0854,a2014,zT,B,G,,,12x19,breit,,,Gs,mF, ,,,WG 31,H5,bw,ParFV,,Femme lisant dans une berceuse (d'après Félix Vallotton),,,,,0854
0855,a2014,zT,B,R,,,26x39,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,Nu dans une chambre rouge (d'après Félix Vallotton),,,,,0855
0856,a2014,zT,B,R,,,27x38,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,La Salamandre (d'après Félix Vallotton),,,,,0856
0857,a2014,zT,B,R,,,25x33,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,Le Sommeil (d'après Félix Vallotton),,,,,0857
0858,a2014,zT,B,R,,,15x18,breit,,,Gs,AX, ,,,WG24,H2,gr,ParFV,,Femme accroupie offrant du lait à un chat (d'après Félix Vallotton),,,,,0858
0859,a2014,zT,B,R,,,35x27,hoch,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,Femme nue dans un fauteuil rouge (d'après Félix Vallotton),,,,,0859
0860,a2014,zT,B,R,,,25x35,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,La Réussite (d'après Félix Vallotton),,,,,0860
0861,a2014,zT,B,R,,,24x33,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,Femme couchée de dos sur un canapé rouge (d'après Félix Vallotton),,,,,0861
0862,a2014,zT,B,R,,,23x29,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,Femme nue debout tenant sa chemise (d'après Félix Vallotton),,,,,0862
0863,a2014,zT,B,R,,,25x32,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,Nu couché au tapis rouge (d'après Félix Vallotton),,,,,0863
0864,a2014,zT,B,R,,,25x32,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,"Femme nue couchée sur un drap blanc, coussin jaune (d'après Félix Vallotton)",,,,,0864
0865,a2014,zT,B,R,,,28x35,breit,,,Gs,AX, ,,,WG24,H1,gr,ParFV,,Femme couchée sur fond violet (d'après Félix Vallotton),,,,,0865
0866,a2013,G,,,,,39x49,breit,,,Gs,L,P,,,WG29,H3,g,ParFV,,"La Grève blanche, Vasouy (d‘après Félix Vallotton)",,,,,0866
0867,a2014,G,,,,,39x49,breit,,,Gs,L,,,,WG29,H3,g,ParFV,,Bretonische Heidelandschaft (nach Félix Vallotton),,,,,0867
0868,a2014,G,,,,,39x49,breit,,,Gs,L,mF,,,WG29,H3,cf,ParFV,,"Marée montante, Houlgate (d‘après Félix Vallotton)",,,,,0868
0869,a2014,G,,,,,39x49,breit,,,Gs,L ,Ar,,,WG29,H3,g,ParFV,,Cagnes am Abend (nach Félix Vallotton),,,,,0869
0870,a2014,G,,,,,39x49,breit,,,Gs,L,Ar,,,WG29,H3,cf,ParFV,,Une rue à Cagnes (d‘après Félix Vallotton),,,,,0870
0871,a2014,G,,,,,39x49,breit,,,Gs,L,Ar,,,WG29,H3,cf,ParFV,,Le vieil Hôpital d'Honfleur (d‘après Félix Vallotton),,,,,0871
0872,a2013,G,,,,,39x49,breit,,,Gs,FigR,,,,WG29,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0872
0873,a2013,G,,,,,40x51,breit,,,U,bb,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0873
0874,a2013,G,,,,,40x51,breit,,,U,Lst,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0874
0875,a2013,G,,,,,40x51,breit,,,U,Ar,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0875
0876,a2013,G,,,,,40x51,breit,,,U,Sch,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0876
0877,a2015,G,,,,,40x51,breit,,,U,,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0877
0878,a2014,G,,,,,40x51,breit,,,U,,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0878
0879,a2014,G,,,,,40x51,breit,Lst,,UnG,O,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0879
0880,a2013,G,,,,,40x51,breit,Lst,,UnG,P,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0880
0881,a2013,G,,,,,40x54,breit,,,Gs,Ar,O,,,WG10,H4,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0881
0882,a2013?,G,,,,,40x51,breit,,,Gs,O,,,,WG10,H2,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0882
0883,a2013,G,,,,,40x54,breit,,,Gs,Ar,O,,,WG10,H4,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0883
0884,a2014,G,,,,,40x51,breit,,,U,,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0884
0885,a2013,G,,,,,40x51,breit,,,U,,,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0885
0886,a2013,G,,,,,49x49,quadratisch,Lst,,UnG,O,P,,,WG10,H3,m,ParFV,,La chambre rouge (d'après Félix Vallotton),,,,,0886
0887,a2012,Ac,,,,,42x56,breit,,,UoG,F,St,O,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0887
0888,a2013,Ac,,,,,42x56,breit,,,U,,,,,WG9,H5,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0888
0889,a2013,Ac,,,,,42x56,breit,Lst,,U,,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0889
0890,a2013,Ac,,,,,42x56,breit,,,U,,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0890
0891,a2013,Ac,,,,,42x56,breit,Gi,,UoG,F,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0891
0892,a2013,Ac,,,,,42x56,breit,,,Gs,F,St,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0892
0893,a2014,Ac,,,,,42x56,breit,,,U,Sch,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0893
0894,a2013,Ac,,,,,42x56,breit,Ul,,Gs,F,St,O,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0894
0895,a2013,Ac,,,,,42x56,breit,,,U,,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0895
0896,a2013,Ac,,,,,42x56,breit,,,Gs,F,St,O,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0896
0897,a2013,Ac,,,,,42x56,breit,,,U,,,,,WG9,H3,cf,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0897
0898,a2013,Ac,,,,,42x56,breit,,,Gs,Ti,St,,,WG9,H4,gr,ParFV,,Cinq gros Piments rouges sur une table laquée blanc (d'après Félix Vallotton),,,,,0898
0899,a2015,G,,,,,32x43?,breit,,,UnG,O,,,,WG15,H5,g,ParFV,,Le mensonge (d'après Félix Vallotton),,,,,0899
0900,a2008,zT,B,T,,,21x24,breit,Lwi,,UnG,A,,,,,H2,gr,ParCom,sko,La Musa di Comensoli,,,,,0900
0901,a2012,G,,,,,22x15,hoch,,,UnG,L,Tie,,,WG38,H4,cf,ParFV,was,Mimosas en fleurs à Cagnes (d'après Félix Vallotton),,,,,0901
0902,a2012,G,,,,,21x30,breit,,,UnG,L,mF,O,,WG38,H3,v,ParFV,sko,Des sables au bord de la Loire (d'après Félix Vallotton),,,,,0902
0903,a2012,G,,,,,21x30,breit,,,UnG,O,,,,WG38,H3,cf,ParFV,,Des sables au bord de la Loire (d'après Félix Vallotton),,,,,0903
0904,a2011,OL,,,,,50x60,breit,Mo,,UnG,F,St,O,,WG1,H4,cf,ParFV,,"Paraphrase zu Félix Vallottons ""Rote Pfefferfrüchte auf rundem, weisslackiertem Tisch""",,,,,0904
0905,a2011,OL,,,,,50x60,breit,Mo,,UnG,F,St,,,WG1,H3,cf,ParFV,,"Paraphrase zu Félix Vallottons ""Stillleben: Äpfel, Birnen, Tomaten, Eier ...""",,,,,0905
0906,a2014,OL,,,,,30x40,breit,Mo,,UnG,F,Sch,O,,WG1,H3,cf,ParFV,,Rote Pfefferfrüchte (nach Félix Vallotton),,,,,0906
0907,a2008,OP,,,,,67x89,breit,Mo,,UnG,L,Ar,,,WG1,H3,g,ParFV,,"nach ""Château Gaillard"" von Félix Vallotton",,,,Kat.OP.599,0907
0908,a2008,OP,,,,,67x89,breit,Mo,,UnG,L,O,,,WG1,H3,cf,ParFV,,"nach ""Coucher de soleil avec barque échouée"" von Félix Vallotton",,,,Kat.OP.571,0908
0909,a2010,OP,,,,,67x89,breit,Mo,,UnG,AX,,,,WG1,H2,cf,ParFV,,Andromède enchaînée (d'après Félix Vallotton),,,,Kat.OP.350,0909
0910,a2009,OP,,,,,67x89,breit,Mo,,UnG,L,mF,Pf,O,WG1,H3,g,ParFV,,"""Des sables au bord de la Loire"" (d'après Félix Vallotton)",,,,Kat.OP.623,0910
0911,a2009,OP,,,,,67x89,breit,Mo,,UnG,L,Pf,,,WG1,H3,cf,ParFV,,"""La Loire à Nevers"" (d'après Félix Vallotton)",,,,Kat.OP.624,0911
0912,a2014,OL,,,,,60x50,hoch,,,Gs,AX,Sch,,,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),,,,,0912
0913,a2014,OL,,,,,60x50,hoch,,,Gs,AX,Sch,,,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),,,,,0913
0914,a2014,OL,,,,,60x50,hoch,,,Gs,AX,Sch,,,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),,,,,0914
0915,a2014,OL,,,,,60x50,hoch,,,Gs,AX,Sch,,,WG21,H3,cf,ParFV,,Badende (nach Félix Vallotton),,,,,0915
0916,a2009,OL,,,,,75x90,breit,,,UnG,AX,P,L,,WG21,H3,cf,ParFV,,Herrin und Dienerin (nach Félix Vallotton),,,,,0916
0917,a2014,zT,T,C,,,46x33,hoch,,,Gs,AX,,,,WG16,H3,bw,ParFV,,Badende (nach Félix Vallotton),,,,,0917
0918,a2014,OP,,,,,67x89,breit,Lst,,U,,,,,WG33,H4,cf,ParFV,,Le rayon de soleil (d'après Félix Vallotton,,,,Kat.OP.656,0918
0919,a2013,OP,,,,,40x32,hoch,Lst,,U,,,,,WG33,H4,cf,ParFV,,"Coin de port le soir, Honfleur (d'après Félix Vallotton)",,,,Kat.OP.655,0919
0920,a2013,OP,,,,,41x55,breit,Ul,,U,,,,,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),,,,Kat.OP.657,0920
0921,a2013,OP,,,,,41x67,breit,,,U,,,,,WG33,H3,cf,ParFV,,"Coucher de soleil, Villerville (d'après Félix Vallotton)",,,,Kat.OP.654,0921
0922,a2015,OL,,,,,53x40,hoch,,,U,,,,,WG33,H3,cf,ParFV,,"Weisser Strand, Vasouy (nach Félix Vallotton)",,,,,0922
0923,a2014,OL,,,,,56x40,hoch,Lst,,U,,,,,WG33,H4,g,ParFV,,Le château Gaillard (d'après Félix Vallotton),,,,,0923
0924,a2015,OL,,,,,50x70,breit,Lst,,U,,,,,WG33,H3,b,ParFV,,"Das Bad, Sommerabend (nach Félix Vallotton)",,,,,0924
0925,a2014,OL,,,,,30x30,quadratisch,Lst,,U,,,,,WG33,H4,cf,ParFV,,La Dordogne à Beynac (d'après Félix Vallotton),,,,,0925
0926,a2014,OL,,,,,30x30,quadratisch,Ul,,U,,,,,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),,,,,0926
0927,a2013,OL,,,,,59x83,breit,Ul,Lst,U,,,,,WG33,H3,cf,ParFV,,Les mouettes (d'après Félix Vallotton),,,,,0927
0928,a2014,OL,,,,,65x82,breit,Lst,,U,,,,,WG33,H3,cf,ParFV,,Die Place Clichy in Paris (nach Félix Vallotton),,,,,0928
0929,a2014,OL,,,,,65x82,breit,Lst,,U,,,,,WG33,H3,cf,ParFV,,Abend am Ufer der Loire (nach Félix Vallotton),,,,,0929
0930,a2012,G,,,,,35x40,breit,,,Gs,F,St,O,,WG38,H4,cf,ParFV,,"""Cinq gros piments rouges sur une table laquée blanc"" (d'après Félix Vallotton)",,,,,0930
0931,a2013,OP,,,,,67x89,breit,Lst,,UnG,L,Pf,,,WG22,H2,cf,ParFV,,"Digue de Honfleur, soleil couchant (d'après Félix Vallotton)",,,,Kat.OP.326,0931
0932,a2013,OP,,,,,67x89,breit,,,UnG,AX,P,,,WG22,H4,cf,ParFV,,La haine (d'après Félix Vallotton),,,,Kat.OP.284,0932
0933,a2013,OP,,,,,67x89,breit,Lst,,UnG,AX,,,,WG22,H4,g,ParFV,,Femme nue couchée dormant (d'après Félix Vallotton),,,,Kat.OP.302,0933
0934,a2014?,G,,,,,36x49?,breit,Schü,,UnG,O,mF,,,WG15,H4,cf,ParFV,,Le 1er janvier (d‘après Félix Vallotton) ,,,,,0934
0935,a1983,T,,,,,21x19?,hoch,,,Gs,St,Pf,O,Ec,,H3,gr,,,Composición agrotropical,,,,,0935
0936,a1973,OL,,,,,18x18,quadratisch,,,U,,,,,,H3,b,,,,,,,,0936
0937,a1973,zT,Opl,T,,,20x15,hoch,,,Gs,mF,FigG,,,,H4,bw,,,,,,,,0937
